GEOHASH,BUS_I,NAME,BUS_TYPE,VOLTAGE,LOAD,GENERATION,GENOK
9mudw2,2233,MISSION,PV,20.0,0.0,18.37,1
9mudw2,2233,MISSION,PV,20.0,0.0,7.33,1
9mvffm,2301,IMPRLVLY,PQ,500.0,0.0,,0
9mvffm,2302,IMPRLVLY,PQ,230.0,0.0,,0
9mvffm,2332,IMPRLVLY,PV,20.0,0.0,13.33,1
9qj152,2400,DEVERS,PV,500.0,7.41606,1.66,1
9qhe90,2401,LUGO,PV,500.0,7.56558,1.74,1
9qh3ky,2402,MIRALOMA,PV,500.0,9.441849999999999,2.13,1
9qh8k2,2403,VALLEY,PV,500.0,9.24912,2.07,1
9qhh0n,2404,VINCENT,PQ,500.0,0.0,,0
9q5epx,2405,SYLMAR_S,PV,230.0,7.34331,1.63,1
9q5fq8,2406,EAGLROCK,PV,230.0,6.59215,1.45,1
9q5bwz,2407,LITEHIPE,PV,230.0,16.104190000000003,3.42,1
9qh18k,2408,MESA_CAL,PV,230.0,15.54955,3.44,1
9qh3ky,2409,MIRALOMA,PV,230.0,14.13334,3.16,1
9q5evq,2410,PARDEE,PV,230.0,14.114559999999999,3.11,1
9qhh0n,2411,VINCENT,PV,230.0,9.59465,2.14,1
9qhe90,2431,LUGO,PV,20.0,0.0,16.66,1
9qhh0n,2434,VINCENT,PV,20.0,0.0,14.89,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,22.92,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,54.51,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,11.46,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,41.1,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,14.6,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,32.1,1
9qh18k,2438,MESA_CAL,PV,20.0,0.0,58.17,1
9qh3ky,2439,MIRALOMA,PV,20.0,0.0,16.66,1
9qh0rw,2501,SERRANO,PQ,500.0,0.0,,0
9qh0rw,2502,SERRANO,PV,230.0,20.878429999999998,4.67,1
9mumuf,2503,S.ONOFRE,PV,230.0,16.46515,3.64,1
9mumuf,2533,S.ONOFRE,PV,20.0,0.0,19.99,1
9qhkxd,2600,ADELANTO,PV,500.0,0.0,30.0,1
9q5epc,2601,RINALDI,PQ,500.0,0.0,,0
9q5f6t,2602,STA_E,PQ,500.0,0.87531,,0
9qhsdk,2603,VICTORVL,PQ,500.0,0.0,,0
9rpbwn,2604,INTERMT,PQ,345.0,0.0,,0
9q5cw0,2605,STA_B1,PQ,287.0,0.0,,0
9q5cw0,2606,STA_B2,PQ,287.0,0.0,,0
9qhsdk,2607,VICTORVL,PQ,287.0,0.0,,0
9q5sgb,2608,CASTAIC,PQ,230.0,0.8803,,0
9q5fm0,2609,GLENDAL,PQ,230.0,1.2079,,0
9mupsy,2610,HAYNES,PQ,230.0,0.88994,,0
9q5g0q,2611,OLIVE,PQ,230.0,0.8803,,0
9q5epc,2612,RINALDI,PQ,230.0,1.06667,,0
9q5cts,2613,RIVER,PV,230.0,2.87725,0.63,1
9q5cw0,2614,STA_BLD,PQ,230.0,1.23152,,0
9q5f6t,2615,STA_E,PV,230.0,7.18654,1.58,1
9q5cw0,2616,STA_F,PQ,230.0,1.0499,,0
9q5fj1,2617,STA_G,PQ,230.0,1.08473,,0
9q5dy2,2618,STA_J,PV,230.0,7.84705,1.74,1
9q5epx,2619,SYLMARLA,PV,230.0,0.0,30.0,1
9qh8k2,2620,VALLEY,PQ,230.0,1.81756,,0
9q5cw0,2621,STA_B,PQ,138.0,2.09415,,0
9mupsy,2630,HAYNES3G,PV,20.0,0.0,39.47,1
9q5g0q,2631,OLIVE,PV,20.0,0.0,5.2,1
9rpbwn,2634,INTERM1G,PV,20.0,0.0,16.18,1
9q5epc,2637,OWENS_G,PV,20.0,0.0,0.87,1
9q5sgb,2638,CASTAI4G,PV,20.0,0.0,4.07,1
9qq5wv,2901,ELDORADO,PQ,500.0,0.0,,0
9q5zqv,2902,MOHAVE,PQ,500.0,0.0,,0
9q8yyz,3101,EMBRCDRD,PV,230.0,3.1357999999999997,0.67,1
9q8yqr,3102,MARTIN,PQ,230.0,1.4572399999999999,,0
9q9jb9,3103,SANMATEO,PV,230.0,3.8041899999999997,0.83,1
9q8yqr,3104,MARTIN,PV,115.0,2.83512,0.61,1
9q8yyc,3105,POTRERO,PQ,115.0,2.1537200000000003,,0
9q9jb9,3133,SANMATEO,PV,20.0,0.0,0.62,1
9q8yyc,3135,POTRERO,PV,20.0,0.0,5.41,1
9q8yyc,3135,POTRERO,PV,20.0,0.0,0.38,1
9qc0p1,3201,C.COSTA,PV,230.0,4.17176,0.91,1
9q9pk4,3202,MORAGA,PV,230.0,5.289429999999999,1.16,1
9q9m24,3203,NEWARK,PV,230.0,5.92543,1.3,1
9qc26h,3204,PITSBURG,PV,230.0,5.95949,1.32,1
9q9peh,3205,SOBRANTE,PV,230.0,4.92201,1.08,1
9qc26h,3234,PITSBURG,PV,20.0,0.0,1.77,1
9qc26h,3234,PITSBURG,PV,20.0,0.0,38.53,1
9qc26h,3234,PITSBURG,PV,20.0,0.0,10.37,1
9qc26h,3234,PITSBURG,PV,20.0,0.0,17.4,1
9q97v8,3301,METCALF,PQ,500.0,0.0,,0
9q9hgh,3302,JEFFERSN,PV,230.0,3.16377,0.68,1
9q97v8,3303,METCALF,PV,230.0,5.6287,1.23,1
9q9hq4,3304,MONTAVIS,PV,230.0,4.8577699999999995,1.05,1
9q9jk9,3305,RAVENSWD,PV,230.0,3.8968900000000004,0.85,1
9q97v8,3333,METCALF,PV,20.0,0.0,10.12,1
9q97v8,3333,METCALF,PV,20.0,0.0,3.12,1
9qd9xh,3401,GREGG,PV,230.0,5.23259,1.1,1
9qe6tq,3402,HELMS_PP,PQ,230.0,0.0,,0
9qdbm8,3403,MC_CALL,PV,230.0,4.64372,1.02,1
9qd2ds,3404,PANOCHE,PV,230.0,4.0037,0.86,1
9qct8r,3405,WILSON,PV,230.0,4.23026,0.88,1
9qe6tq,3432,HELMS_PP,PV,20.0,0.0,37.46,1
9qdbm8,3433,MC_CALL,PV,20.0,0.0,9.21,1
9qdbm8,3433,MC_CALL,PV,20.0,0.0,14.26,1
9qben2,3501,FULTON,PV,230.0,5.62514,1.23,1
9qben2,3531,FULTON,PV,20.0,0.0,14.24,1
9qben2,3531,FULTON,PV,20.0,0.0,5.33,1
9qben2,3531,FULTON,PV,20.0,0.0,0.24,1
9pr8ne,3601,HUMBOLDT,PQ,115.0,0.92975,,0
9pr8ne,3631,HUMBOLDT,PV,20.0,0.0,0.96,1
9pr8ne,3631,HUMBOLDT,PV,20.0,0.0,2.1,1
9r4bc7,3701,SUMMIT,PQ,115.0,3.1705099999999997,,0
9r4bc7,3731,SUMMIT,PV,20.0,0.0,2.43,1
9q603v,3801,DIABLO,PQ,500.0,1.6406200000000002,,0
9q6tde,3802,GATES,PQ,500.0,0.0,,0
9q713t,3803,MIDWAY,PQ,500.0,0.0,,0
9q6tde,3804,GATES,PQ,230.0,2.01824,,0
9q713t,3805,MIDWAY,PV,230.0,4.34251,0.98,1
9q613c,3806,MORROBAY,PQ,230.0,2.55767,,0
9q603v,3831,DIABLO1,PV,20.0,0.0,23.23,1
9q713t,3835,MIDWAY,PV,20.0,0.0,20.25,1
9q713t,3835,MIDWAY,PV,20.0,0.0,13.33,1
9q613c,3836,MORROBAY,PV,20.0,0.0,14.97,1
9q6tde,3891,GATES1,PQ,500.0,0.0,,0
9q713t,3892,MIDWAY1,PQ,500.0,0.0,,0
9q713t,3893,MIDWAY2,PQ,500.0,0.0,,0
9q713t,3894,MIDWAY3,PQ,500.0,0.0,,0
9q713t,3895,MIDWAY4,PQ,500.0,0.0,,0
9q713t,3896,MIDWAY5,PQ,500.0,0.0,,0
9q713t,3897,MIDWAY6,PQ,500.0,0.0,,0
9q9fy1,3901,LOSBANOS,PQ,500.0,0.0,,0
9q92vz,3902,MOSSLAND,PQ,500.0,1.3769200000000001,,0
9q9w99,3903,TESLA,PQ,500.0,1.90745,,0
9qc63x,3904,VACA-DIX,PQ,500.0,0.0,,0
9r13pb,3905,TABLE_MT,PQ,500.0,0.0,,0
9r321k,3906,ROUND_MT,PQ,500.0,0.0,,0
9qcbq0,3907,BELLOTA,PV,230.0,4.3038,0.91,1
9qcem3,3908,BRIGHTON,PQ,230.0,1.8687,,0
9qcxqg,3909,COLGATE,PQ,230.0,1.59388,,0
9qcjcp,3910,CORTINA,PQ,230.0,2.28437,,0
9r1jcf,3911,COTWDPGE,PQ,230.0,2.04367,,0
9r10zd,3912,GLENN,PQ,230.0,1.56919,,0
9qcggm,3913,GOLDHILL,PV,230.0,3.01003,0.65,1
9qbbed,3914,IGNACIO,PQ,230.0,2.07245,,0
9qbcde,3915,LAKEVILE,PQ,230.0,2.30849,,0
9r106e,3916,LOGAN_CR,PQ,230.0,1.39766,,0
9q9fy1,3917,LOSBANOS,PQ,230.0,2.14158,,0
9q92vz,3918,MOSSLAND,PV,230.0,2.89544,0.63,1
9r1867,3919,PALERMO,PQ,230.0,1.7167,,0
9qcts0,3920,RIO_OSO,PQ,230.0,1.58827,,0
9r321k,3921,ROUND_MT,PQ,230.0,1.26917,,0
9r13pb,3922,TABLE_MT,PQ,230.0,2.31814,,0
9q9w99,3923,TESLA,PV,230.0,3.53452,0.79,1
9qc63x,3924,VACA-DIX,PV,230.0,3.00147,0.66,1
9r1jcf,3925,COTWDPGE,PQ,115.0,0.0,,0
9qcts0,3926,RIO_OSO,PQ,115.0,2.44214,,0
9r321k,3931,ROUND_MT,PV,20.0,0.0,5.67,1
9r321k,3931,ROUND_MT,PV,20.0,0.0,28.75,1
9q92vz,3932,MOSSLAND,PV,20.0,0.0,14.26,1
9q9w99,3933,TESLA,REF,20.0,0.0,8.649999000000001,0
9q9w99,3933,TESLA,REF,20.0,0.0,3.45,0
9q9w99,3933,TESLA,REF,20.0,0.0,19.27,0
9q9w99,3933,TESLA,REF,20.0,0.0,27.24,0
9q9w99,3933,TESLA,REF,20.0,0.0,7.4,0
9q9w99,3933,TESLA,REF,20.0,0.0,13.33,0
9r3wzq,4001,MALIN,PQ,500.0,0.0,,0
9r9uxw,4002,SUMMER_L,PQ,500.0,1.54505,,0
9rg8bx,4003,BURNS,PQ,500.0,0.0,,0
9rcvn1,4004,GRIZZLY,PQ,500.0,2.4818000000000002,,0
c245ue,4005,JOHN_DAY,PQ,500.0,4.4455,,0
c21g7y,4006,BIG_EDDY,PQ,500.0,0.0,,0
c21g7u,4007,CELILOCA,PQ,500.0,0.0,,0
9r3wzq,4008,MALIN,PQ,345.0,2.65108,,0
c21g7y,4009,BIG_EDDY,PQ,230.0,20.45132,,0
c21g7u,4010,CELILO,PQ,230.0,0.0,,0
9r3wzq,4031,MALIN,PV,20.0,0.0,27.1,1
9r3wzq,4031,MALIN,PV,20.0,0.0,9.520001,1
9r3wzq,4031,MALIN,PV,20.0,0.0,4.27,1
9r3wzq,4031,MALIN,PV,20.0,0.0,6.35,1
c245ue,4035,JOHN_DAY,PV,20.0,0.0,6.42,1
c245ue,4035,JOHN_DAY,PV,20.0,0.0,16.56,1
c245ue,4035,JOHN_DAY,PV,20.0,0.0,35.72,1
c245ue,4035,JOHN_DAY,PV,20.0,0.0,25.78,1
c21g7y,4039,DALLES21,PV,20.0,0.0,1.5,1
c21g7y,4039,DALLES21,PV,20.0,0.0,28.39,1
c21g7y,4039,DALLES21,PV,20.0,0.0,12.9,1
9r3wzq,4090,MALIN1,PQ,500.0,0.0,,0
9rcvn1,4091,GRIZZLY1,PQ,500.0,0.0,,0
9rcvn1,4092,GRIZZLY2,PQ,500.0,0.0,,0
9rcvn1,4093,GRIZZLY3,PQ,500.0,0.0,,0
9rcvn1,4094,GRIZZLY4,PQ,500.0,0.0,,0
9rcvn1,4095,GRIZZLY5,PQ,500.0,0.0,,0
9rcvn1,4096,GRIZZLY6,PQ,500.0,0.0,,0
9rcvn1,4097,GRIZZLY7,PQ,500.0,0.0,,0
c2e2u0,4101,COULEE,PQ,500.0,8.82117,,0
c26crp,4102,HANFORD,PQ,500.0,4.38548,,0
c2kx95,4103,BELL,PQ,500.0,0.10805,,0
c2kx95,4104,BELL,PQ,230.0,24.249859999999998,,0
c2e2u0,4131,COULEE,PV,20.0,0.0,7.11,1
c2e2u0,4131,COULEE,PV,20.0,0.0,126.13,1
c2e2u0,4131,COULEE,PV,20.0,0.0,7.9,1
c26crp,4132,HANFORD,PV,20.0,0.0,21.7,1
c26crp,4132,HANFORD,PV,20.0,0.0,55.39,1
c26crp,4132,HANFORD,PV,20.0,0.0,12.0,1
c26crp,4132,HANFORD,PV,20.0,0.0,3.0,1
c2967d,4201,NORTH,PQ,500.0,51.45231,,0
c237sz,4202,WCASCADE,PQ,500.0,43.00226,,0
9rb6wg,4203,WILLAMET,PQ,500.0,43.08429,,0
9r88yx,4204,MERIDIAN,PQ,500.0,9.49629,,0
c2967d,4231,NORTH_G3,PV,20.0,0.0,14.6,1
c2967d,4231,NORTH_G3,PV,20.0,0.0,9.7,1
c2967d,4231,NORTH_G3,PV,20.0,0.0,35.17,1
c237sz,4232,WCASCADE,PV,20.0,0.0,8.72,1
c237sz,4232,WCASCADE,PV,20.0,0.0,5.58,1
c237sz,4232,WCASCADE,PV,20.0,0.0,6.95,1
c2c10y,5001,CANADA,PQ,500.0,72.13383,,0
c2c10y,5002,CANALB,PQ,500.0,85.34582,,0
c2u6xt,5003,CA230TO,PQ,230.0,5.8926300000000005,,0
c2u6xt,5004,CA230,PQ,230.0,0.0,,0
c2c10y,5031,CANAD_G1,PV,20.0,0.0,26.5,1
c2c10y,5031,CANAD_G1,PV,20.0,0.0,107.47,1
c2c10y,5032,CMAIN_GM,PV,20.0,0.0,130.39,1
c2c10y,5032,CMAIN_GM,PV,20.0,0.0,96.36,1
c2c10y,5032,CMAIN_GM,PV,20.0,0.0,1.08,1
c2c10y,5032,CMAIN_GM,PV,20.0,0.0,44.102,1
c2c10y,5032,CMAIN_GM,PV,20.0,0.0,5.41,1
9rwgcr,6101,MIDPOINT,PQ,500.0,0.0,,0
9rwgcr,6102,MIDPOINT,PQ,345.0,10.2247,,0
9rx7st,6103,BORAH,PQ,345.0,3.86454,,0
9rx7st,6104,BORAH,PQ,230.0,16.836479999999998,,0
9rwgcr,6132,MIDPOINT,PV,20.0,0.0,1.22,1
9rwgcr,6132,MIDPOINT,PV,20.0,0.0,12.72,1
9rwgcr,6132,MIDPOINT,PV,20.0,0.0,25.41,1
9rwgcr,6132,MIDPOINT,PV,20.0,0.0,3.95,1
9rwgcr,6132,MIDPOINT,PV,20.0,0.0,9.729999,1
c8h5zm,6201,COLSTRP,PQ,500.0,1.9417,,0
c2r8x7,6202,GARRISON,PQ,500.0,0.8131900000000001,,0
c8h5zm,6203,COLSTRP,PQ,230.0,6.09243,,0
c2r8x7,6204,GARRISON,PQ,230.0,6.6754999999999995,,0
c82vu4,6205,MONTANA,PQ,230.0,4.65984,,0
c8h5zm,6231,COLSTRP,PV,20.0,0.0,24.88,1
c8h5zm,6231,COLSTRP,PV,20.0,0.0,2.5,1
c82vu4,6235,MONTA_G1,PV,20.0,0.0,2.26,1
c82vu4,6235,MONTA_G1,PV,20.0,0.0,26.71,1
c82vu4,6235,MONTA_G1,PV,20.0,0.0,7.2,1
9x6z6m,6301,BRIDGER,PQ,345.0,5.08649,,0
9xkgmv,6302,LARAMIE,PQ,345.0,5.88418,,0
9x6z6m,6303,BRIDGER2,PQ,230.0,7.24856,,0
9xkgmv,6304,LARAMIE,PQ,230.0,0.0,,0
9x3mfn,6305,NAUGHTON,PQ,230.0,0.56823,,0
9x6z6m,6333,BRIDGER,PV,20.0,0.0,45.94,1
9x6z6m,6333,BRIDGER,PV,20.0,0.0,14.89,1
9x3mfn,6335,NAUGHT,PV,20.0,0.0,26.6,1
9x3mfn,6335,NAUGHT,PV,20.0,0.0,4.18,1
9x3mfn,6335,NAUGHT,PV,20.0,0.0,3.03,1
9r50xy,6401,TRACYSPP,PV,345.0,16.283900000000003,0.6,1
9r4bc7,6402,SUMITSPP,PQ,115.0,2.7085500000000002,,0
9rkf69,6403,VALMY,PQ,345.0,0.019799999999999998,,0
9rn2tf,6404,GONDER,PQ,345.0,0.27498,,0
9rkf69,6433,VALMY,PV,20.0,0.0,3.91,1
9rkf69,6433,VALMY,PV,20.0,0.0,7.51,1
9rkf69,6433,VALMY,PV,20.0,0.0,13.69,1
9rkf69,6433,VALMY,PV,20.0,0.0,1.52,1
9x27ep,6501,BENLOMND,PQ,345.0,1.9303299999999999,,0
9x0mgn,6502,CAMP_WIL,PQ,345.0,15.39327,,0
9x47er,6503,EMERY,PQ,345.0,4.14228,,0
9x06gc,6504,MONA,PQ,345.0,2.93725,,0
9wdr2q,6505,PINTO,PQ,345.0,0.06555,,0
9wdr2q,6506,PINTO_PS,PQ,345.0,0.0,,0
9wbmjr,6507,SIGURD,PQ,345.0,5.278339999999999,,0
9x0gc5,6508,SPAN_FRK,PQ,345.0,1.2899100000000001,,0
9x0ryy,6509,TERMINAL,PQ,345.0,0.08495,,0
9x27ep,6510,BENLOMND,PV,230.0,19.7192,2.29,1
9x47er,6533,EMERY,PV,20.0,0.0,32.76,1
9x47er,6533,EMERY,PV,20.0,0.0,32.39,1
9x47er,6533,EMERY,PV,20.0,0.0,2.75,1
9x47er,6533,EMERY,PV,20.0,0.0,14.07,1
9x47er,6533,EMERY,PV,20.0,0.0,3.91,1
9wve62,7001,COLOEAST,PV,345.0,68.63645000000001,3.49,1
9x5w98,7002,CRAIG,PQ,345.0,25.17078,,0
9wve62,7031,COLOEAST,PV,20.0,0.0,31.27,1
9wve62,7031,COLOEAST,PV,20.0,0.0,63.46,1
9wve62,7031,COLOEAST,PV,20.0,0.0,5.09,1
9wve62,7031,COLOEAST,PV,20.0,0.0,31.06,1
9x5w98,7032,CRAIG,PV,20.0,0.0,18.21,1
9x5w98,7032,CRAIG,PV,20.0,0.0,14.83,1
9x5w98,7032,CRAIG,PV,20.0,0.0,6.72,1
9x5w98,7032,CRAIG,PV,20.0,0.0,7.38,1
9r0vxp,8001,OLINDA,PQ,500.0,0.0,,0
9q9wtp,8002,TRACY,PQ,500.0,0.0,,0
9r1jcf,8003,COTWDWAP,PV,230.0,5.46423,1.29,1
9qcf5u,8004,RNCHSECO,PV,230.0,34.09103,7.44,1
9q9wtp,8005,TRACYPMP,PV,230.0,12.13222,2.6,1
9r1jcf,8033,COTWDWAP,PV,20.0,0.0,13.94,1
9qcf5u,8034,RNCHSECO,PV,20.0,0.0,37.54,1
9qcf5u,8034,RNCHSECO,PV,20.0,0.0,5.44,1
