number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run
33,2438S,2438,0,1146,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1146,0,1146,0,1146,0,1146,1,1,1,1,0.01,0.01,0,0,0
34,2438SG,2438,0,4110,96,8,Gas,1,24,0,253632,0,76089.6,7.654,45,45,53.39371134,793.260792,62.00560027,1979.486265,70.21560104,3425.244381,88.9895189,4110,1,1,1,1,0.01,0.01,0,0,0
35,2438SH,2438,221,1460,4.5,4.5,Hydro-3,1,4,789.738,0,0,0,7.3,135,135,0,1460,0,1460,0,1460,0,1460,1,1,1,1,0.01,0.01,0,0,0
36,2438SW,2438,0,3210,0.25,0.25,Wind-2,1,24,2321.713,0,0,0,500,6,15,0,3210,0,3210,0,3210,0,3210,1,1,1,1,0.01,0.01,0,0,0
37,2438WG,2438,0,5817,24,24,Gas,1,24,0,259961,0,77988.3,7.1824,60,60,53.79559949,706.7794303,54.48455061,2124.737333,56.37916617,4401.974792,74.29189513,5817,1,1,1,1,0.01,0.01,0,0,0
38,2439S,2439,0,1666,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1666,0,1666,0,1666,0,1666,1,1,1,1,0.01,0.01,0,0,0
39,2533S,2533,0,1999,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1999,0,1999,0,1999,0,1999,1,1,1,1,0.01,0.01,0,0,0
40,2630G,2630,0,3947,6,8,Gas,1,24,155,129121,0,38736.3,8,6,15,40.26333289,1117.241456,52.25786422,2208.091382,59.18428373,3102.471025,70.22150505,3947,1,1,1,1,0.01,0.01,0,0,0
41,2631S,2631,0,520,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,520,0,520,0,520,0,520,1,1,1,1,0.01,0.01,0,0,0
42,2634C,2634,323.6,1618,96,48,Steam,1,24,1618,171027,0,51308.1,20,150,150,2.338294982,1618,0,1618,0,1618,0,1618,1,1,1,1,0.01,0.01,0,0,0
43,2637H,2637,13,87,4.5,4.5,Hydro-3,1,4,47.85,0,0,0,0.435,135,135,0,87,0,87,0,87,0,87,1,1,1,1,0.01,0.01,0,0,0
44,2638H,2638,61,407,0.25,0.25,Hydro-3,1,24,223.85,0,0,0,2.035,6,15,0,407,0,407,0,407,0,407,1,1,1,1,0.01,0.01,0,0,0
45,3133NG,3133,0,62,0.5,0.5,Gas,0,4,0,9000,0,1800,5.33334,15,15,63.84280324,62,0,62,0,62,0,62,1,1,1,1,0.01,0.01,0,0,0
46,3135MG,3135,0,541,1,1,Gas,1,24,145.0099992,30852,0,6170.4,8.666,15,15,57.47000543,303.4878049,73.14364328,384.1246612,73.37329365,463.295393,74.06224476,541,1,1,1,1,0.01,0.01,0,0,0
47,3135NG,3135,0,38,0.5,0.5,Gas,0,4,0,1744,0,348.8,5,15,15,63.84280324,38,0,38,0,38,0,38,1,1,1,1,0.01,0.01,0,0,0
48,3234DG,3234,0,177,1,1,Gas,0,4,0,16774,0,3354.8,4.381,15,15,74.63637069,177,0,177,0,177,0,177,1,1,1,1,0.01,0.01,0,0,0
49,3234MG,3234,0,3853,96,24,Gas,1,24,0,159022,0,47706.6,10.87182,30,30,55.80504024,492.6210046,56.0921032,1518.914764,56.78105432,2936.666286,62.35007582,3853,1,1,1,1,0.01,0.01,0,0,0
50,3234NG,3234,0,1037,24,24,Gas,1,24,0,15000,0,3000,14.2,15,15,43.63357056,381.3578501,63.84280324,919.6591231,74.5789581,990.0636492,88.07091742,1037,1,1,1,1,0.01,0.01,0,0,0
51,3234NW,3234,0,1740,0.25,0.25,Wind-2,1,24,470.668,0,0,0,500,6,15,0,1740,0,1740,0,1740,0,1740,1,1,1,1,0.01,0.01,0,0,0
52,3333CG,3333,0,1012,6,8,Gas,1,24,246.0869571,72063,0,14412.6,6.34888,15,15,38.75350017,814,59.99615952,1012,0,1012,0,1012,1,1,1,1,0.01,0.01,0,0,0
53,3333NG,3333,0,312,2,2,Gas,0,3,0,27100,0,5420,3.1332,15,15,50.23601874,58.5915493,57.41259284,215.3239437,63.84280324,298.8169014,69.58406252,312,1,1,1,1,0.01,0.01,0,0,0
54,3432NP,3432,-2841,3746,0,0,PV-2,0,24,0,0,0,0,500,0,0,0,3746,0,3746,0,3746,0,3746,1,1,1,1,0.01,0.01,0,0,0
55,3433NG,3433,0,921,2,1,Gas,1,24,0,55842,0,11168.4,5.204,15,15,55.8050,71.8614,55.8051,71.8615,59.99615952,552.8933121,67.51720918,921,1,1,1,1,0.01,0.01,0,0,0
56,3433S,3433,0,1426,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1426,0,1426,0,1426,0,1426,1,1,1,1,0.01,0.01,0,0,0
57,3531CE,3531,0,1424,0.5,0.5,Geothermal,1,24,1424,0,0,0,500,6,15,0,1424,0,1424,0,1424,0,1424,1,1,1,1,0.01,0.01,0,0,0
58,3531NE,3531,0,533,0.5,0.5,Geothermal,1,24,533,0,0,0,500,6,15,0,533,0,533,0,533,0,533,1,1,1,1,0.01,0.01,0,0,0
59,3531NH,3531,3,24,4,4,Hydro-3,1,24,5.517,0,0,0,0.12,120,120,0,24,0,24,0,24,0,24,1,1,1,1,0.01,0.01,0,0,0
60,3631NB,3631,0,96,0.5,0.5,Biomass,1,24,73.54,0,0,0,500,6,15,0,96,0,96,0,96,0,96,1,1,1,1,0.01,0.01,0,0,0
61,3631NG,3631,0,210,1,1,Gas,0,22,0,1080,0,216,9.3334,15,15,64.87622991,77.83216783,69.46923734,155.6643357,85.88923889,210,0,210,1,1,1,1,0.01,0.01,0,0,0
62,3731NH,3731,36,243,4,4,Hydro-3,1,24,186.493,0,0,0,1.215,120,120,0,243,0,243,0,243,0,243,1,1,1,1,0.01,0.01,0,0,0
63,3831NN,3831,1000,2323,168,168,Nuclear,1,24,1489,0,0,0,3.778333334,1080,1080,0,1489,0,1489,0,1489,0,2323,0,0,0,0,0.01,0.01,0,0,0
64,3835NG,3835,0,2025,6,8,Gas,0,4,0,130719,0,39215.7,6.163,30,30,61.43147434,524.9456915,63.84280324,1375.416365,67.00049584,1763.993483,89.16175668,2025,1,1,1,1,0.01,0.01,0,0,0
65,3835S,3835,0,1333,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1333,0,1333,0,1333,0,1333,1,1,1,1,0.01,0.01,0,0,0
66,3836DG,3836,0,1497,24,24,Gas,1,24,0,30000,0,9000,26.2,15,15,54.02524986,502.9098923,54.94385135,995.5563173,59.93874692,1246.278159,60.51287285,1497,1,1,1,1,0.01,0.01,0,0,0
67,3931NB,3931,0,567,0.5,0.5,Biomass,1,6,61.65998927,0,0,0,500,6,15,0,567,0,567,0,567,0,567,1,1,1,1,0.01,0.01,0,0,0
68,3931NH,3931,436,2875,4,4,Hydro-3,1,24,1719.143,0,0,0,14.375,120,120,0,2875,0,2875,0,2875,0,2875,1,1,1,1,0.01,0.01,0,0,0
69,3932S,3932,0,1426,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1426,0,1426,0,1426,0,1426,1,1,1,1,0.01,0.01,0,0,0
70,3933CG,3933,0,864.9999,2,0.5,Gas,1,24,245.6199445,60557,0,12111.4,4.953776,15,15,38.75350017,791.6949153,59.99615952,865,0,865,0,865,1,1,1,1,0.01,0.01,0,0,0
71,3933NB,3933,0,345,6,8,Biomass,1,24,264.44,0,0,0,500,6,15,0,345,0,345,0,345,0,345,1,1,1,1,0.01,0.01,0,0,0
72,3933NG,3933,0,1927,96,8,Gas,1,24,0,104370,0,31311,5.6475554,30,30,49.14517947,193.5799087,55.86245283,438.4878234,67.51720918,1432.784627,82.50189591,1927,1,1,1,1,0.01,0.01,0,0,0
73,3933NH,3933,413,2724,4.5,4.5,Hydro-3,1,4,626.197,0,0,0,13.62,135,135,0,2724,0,2724,0,2724,0,2724,1,1,1,1,0.01,0.01,0,0,0
74,3933NW,3933,0,740,0.25,0.25,Wind-2,1,24,200.131,0,0,0,500,6,15,0,740,0,740,0,740,0,740,1,1,1,1,0.01,0.01,0,0,0
75,3933S,3933,0,1333,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1333,0,1333,0,1333,0,1333,1,1,1,1,0.01,0.01,0,0,0
76,4031G,4031,0,2710,6,6,Gas,1,24,840.2743863,65139,0,19541.7,4.133332,6,15,39.17771425,2018.315055,51.39677758,2572.20339,53.64333183,2710,0,2710,1,1,1,1,0.01,0.01,0,0,0
77,4031H,4031,144,952.0001,4.5,4.5,Hydro-3,1,2,219.262,0,0,0,4.7600005,135,135,0,952.0001,0,952.0001,0,952.0001,0,952.0001,1,1,1,1,0.01,0.01,0,0,0
78,4031S,4031,0,427,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,427,0,427,0,427,0,427,1,1,1,1,0.01,0.01,0,0,0
79,4031W,4031,0,635,0.25,0.25,Wind-2,1,2,633.677,0,0,0,500,6,15,0,635,0,635,0,635,0,635,1,1,1,1,0.01,0.01,0,0,0
80,4035C,4035,128.4,642,96,48,Steam,1,24,642,47224,0,9444.8,20,45,45,4.249196052,642,0,642,0,642,0,642,1,1,1,1,0.01,0.01,0,0,0
81,4035G,4035,0,1656,6,8,Gas,1,24,672.3896523,50652,0,10130.4,5,6,15,39.17771425,934.7079935,40.87632844,1520.926591,41.15029847,1656,0,1656,1,1,1,1,0.01,0.01,0,0,0
82,4035H,4035,542,3572,4,4,Hydro-3,1,24,1642.181,0,0,0,17.86,120,120,0,3572,0,3572,0,3572,0,3572,1,1,1,1,0.01,0.01,0,0,0
83,4035W,4035,0,2578,0.25,0.25,Wind-2,1,24,723.426,0,0,0,500,6,15,0,2578,0,2578,0,2578,0,2578,1,1,1,1,0.01,0.01,0,0,0
84,4039G,4039,0,150,6,8,Gas,0,12,0,11449,0,2289.8,5,6,15,39.99962434,127.9411765,53.64333183,150,0,150,0,150,1,1,1,1,0.01,0.01,0,0,0
85,4039H,4039,431,2839,4,4,Hydro-3,1,24,1651.917,0,0,0,14.195,120,120,0,2839,0,2839,0,2839,0,2839,1,1,1,1,0.01,0.01,0,0,0
86,4039W,4039,0,1290,0.25,0.25,Wind-2,1,24,348.0829992,0,0,0,500,6,15,0,1290,0,1290,0,1290,0,1290,1,1,1,1,0.01,0.01,0,0,0
87,4131B,4131,0,711,0.25,0.25,Biomass,1,24,544.976,0,0,0,500,6,15,0,711,0,711,0,711,0,711,1,1,1,1,0.01,0.01,0,0,0
88,4131H,4131,1915,12613,4.5,4.5,Hydro-3,1,4,3204.382,0,0,0,63.065,135,135,0,12613,0,12613,0,12613,0,12613,1,1,1,1,0.01,0.01,0,0,0
89,4131W,4131,0,790,0.25,0.25,Wind-2,1,24,23.051,0,0,0,500,6,15,0,790,0,790,0,790,0,790,1,1,1,1,0.01,0.01,0,0,0
90,4132G,4132,0,2170,8,8,Gas,0,2,0,254995,0,76498.5,3.777776,6,15,40.38318239,736.8421053,62.46516678,1558.421053,66.41033521,1931.263158,68.32812542,2170,1,1,1,1,0.01,0.01,0,0,0
91,4132H,4132,841,5539,4.5,4.5,Hydro-3,1,4,1273.758,0,0,0,27.695,135,135,0,5539,0,5539,0,5539,0,5539,1,1,1,1,0.01,0.01,0,0,0
92,4132N,4132,800,1200,24,24,Nuclear,1,24,1200,0,0,0,2,1440,1440,2,1200,0,1200,0,1200,0,1200,0,0,0,0,0.01,0.01,0,0,0
93,4132W,4132,0,300,0.25,0.25,Wind-2,1,24,61.032,0,0,0,500,6,15,0,300,0,300,0,300,0,300,1,1,1,1,0.01,0.01,0,0,0
94,4231C,4231,292,1460,96,48,Steam,1,24,1460,101486,0,30445.8,20,120,120,4.249196052,1460,0,1460,0,1460,0,1460,1,1,1,1,0.01,0.01,0,0,0
95,4231G,4231,0,970,6,8,Gas,1,24,240,55897,0,16769.1,4,6,15,39.17771425,422.0273349,51.39677758,641.5110099,66.41033521,669.498861,68.32812542,970,1,1,1,1,0.01,0.01,0,0,0
96,4231H,4231,534,3517,4,4,Hydro-3,1,24,3112.405,0,0,0,17.585,120,120,0,3517,0,3517,0,3517,0,3517,1,1,1,1,0.01,0.01,0,0,0
97,4232G,4232,0,872,8,8,Gas,0,1,0,43776,0,13132.8,4.66666666,6,15,39.17771425,725.4391892,66.41033521,848.4324324,68.32812542,872,0,872,1,1,1,1,0.01,0.01,0,0,0
98,4232H,4232,84,558,4.5,4.5,Hydro-3,1,3,192.337,0,0,0,2.79,135,135,0,558,0,558,0,558,0,558,1,1,1,1,0.01,0.01,0,0,0
99,4232W,4232,0,695,0.25,0.25,Wind-2,1,24,197.925,0,0,0,500,6,15,0,695,0,695,0,695,0,695,1,1,1,1,0.01,0.01,0,0,0
100,5031G,5031,0,2650,6,8,Gas,1,24,1440,82344,0,24703.2,5.22222,6,15,36.24764,395,59.770584,622,63.217912,1210,0,2650,1,1,1,1,0.01,0.01,0,0,0
101,5031H,5031,1632,10747,4,4,Hydro-3,1,24,6651.294,0,0,0,53.735,120,120,0,10747,0,10747,0,10747,0,10747,1,1,1,1,0.01,0.01,0,0,0
102,5032C,5032,2607.8,13039,168,48,Steam,1,24,8838.01864,231789,0,69536.7,20,255,255,1.9676,13039,0,13039,0,13039,0,13039,1,1,1,1,0.01,0.01,0,0,0
103,5032G,5032,0,9636,6,8,Gas,0,16,0,129121,0,38736.3,8,6,15,40.26333289,1117.241456,52.25786422,2208.091382,59.18428373,3102.471025,70.22150505,9636,1,1,1,1,0.01,0.01,0,0,0
104,5032R,5032,0,108,0.25,0.25,Wind-2,1,9,58.039,0,0,0,500,6,15,0,108,0,108,0,108,0,108,1,1,1,1,0.01,0.01,0,0,0
105,5032S,5032,0,4410.2,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,4410.2,0,4410.2,0,4410.2,0,4410.2,1,1,1,1,0.01,0.01,0,0,0
106,5032W,5032,0,541,0.25,0.25,Wind-2,1,9,290.794,0,0,0,500,6,15,0,541,0,541,0,541,0,541,1,1,1,1,0.01,0.01,0,0,0
107,6132B,6132,0,122,0.25,0.25,Biomass,0,3,0,0,0,0,500,6,15,0,122,0,122,0,122,0,122,1,1,1,1,0.01,0.01,0,0,0
108,6132G,6132,0,1272,6,2,Gas,0,18,0,10373,0,2074.6,4.88888888,6,15,54.63906513,382.0341297,66.6030442,1272,0,1272,0,1272,1,1,1,1,0.01,0.01,0,0,0
109,6132H,6132,386,2541,4.5,4.5,Hydro-3,1,4,0,0,0,0,12.705,135,135,0,2541,0,2541,0,2541,0,2541,1,1,1,1,0.01,0.01,0,0,0
110,6132S,6132,0,395,0.25,0.25,PV-2,0,14,0,0,0,0,500,6,15,0,395,0,395,0,395,0,395,1,1,1,1,0.01,0.01,0,0,0
111,6132W,6132,0,972.9999,0.25,0.25,Wind-2,1,1,54.99401931,0,0,0,500,6,15,0,972.9999,0,972.9999,0,972.9999,0,972.9999,1,1,1,1,0.01,0.01,0,0,0
112,6231C,6231,497.6,2488,96,48,Steam,1,24,975.0088682,170471,0,51141.3,20,195,195,2.07226801,2488,0,2488,0,2488,0,2488,1,1,1,1,0.01,0.01,0,0,0
113,6231G,6231,0,250,2,2,Gas,0,22,0,12221,0,2444.2,5.3333334,6,15,53.65648185,250,0,250,0,250,0,250,1,1,1,1,0.01,0.01,0,0,0
114,6235G,6235,0,226,6,8,Gas,0,3,0,6261,0,1252.2,2.33333332,6,15,52.35158658,81.85826772,56.4816691,226,0,226,0,226,1,1,1,1,0.01,0.01,0,0,0
115,6235H,6235,406,2671,4.5,4.5,Hydro-3,1,4,966.7445988,0,0,0,13.355,135,135,0,2671,0,2671,0,2671,0,2671,1,1,1,1,0.01,0.01,0,0,0
116,6235W,6235,0,720,0.25,0.25,Wind-2,1,1,0,0,0,0,500,6,15,0,720,0,720,0,720,0,720,1,1,1,1,0.01,0.01,0,0,0
117,6333C,6333,918.8,4594,168,48,Steam,1,24,3394,231789,0,69536.7,20,255,255,1.9676,4594,0,4594,0,4594,0,4594,1,1,1,1,0.01,0.01,0,0,0
118,6333W,6333,0,1489,0.25,0.25,Wind-2,1,24,1190.478,0,0,0,500,6,15,0,1489,0,1489,0,1489,0,1489,1,1,1,1,0.01,0.01,0,0,0
119,6335C,6335,532,2660,96,48,Steam,1,24,2660,134932,0,40479.6,20,150,150,2.338294982,2660,0,2660,0,2660,0,2660,1,1,1,1,0.01,0.01,0,0,0
120,6335G,6335,0,418,8,8,Gas,0,16,0,158061,0,31612.2,3.666666,6,15,53.65648185,57.72078907,57.88950921,87.53262519,71.33223121,418,0,418,1,1,1,1,0.01,0.01,0,0,0
121,6335H,6335,45,303,4,4,Hydro-3,1,24,163.946,0,0,0,1.515,120,120,0,303,0,303,0,303,0,303,1,1,1,1,0.01,0.01,0,0,0
122,6433C,6433,78.2,391,96,48,Steam,1,24,391,43335,0,8667,20,45,45,3.453778,391,0,391,0,391,0,391,1,1,1,1,0.01,0.01,0,0,0
123,6433E,6433,0,751,96,48,Steam,1,24,751,138896,0,41668.8,20,165,165,3.663100004,751,0,751,0,751,0,751,1,1,1,1,0.01,0.01,0,0,0
124,6433G,6433,0,1369,12,8,Gas,0,6,0,58409,0,17522.7,3.66204,6,15,38.69615035,214.5447761,53.84988755,475.0634328,63.80805771,1269.389925,67.48825103,1369,1,1,1,1,0.01,0.01,0,0,0
125,6433W,6433,0,152,0.25,0.25,Wind-2,1,8,139.536,0,0,0,500,6,15,0,152,0,152,0,152,0,152,1,1,1,1,0.01,0.01,0,0,0
126,6533C,6533,655.2,3276,96,48,Steam,1,24,1452.909089,266078,0,79823.4,20,300,300,2.338294982,3276,0,3276,0,3276,0,3276,1,1,1,1,0.01,0.01,0,0,0
127,6533G,6533,0,3239,6,8,Gas,0,16,0,94648,0,28394.4,5.3555554,6,15,38.18859391,896.2460227,40.16478688,2090.627273,50.09916236,2977.671591,66.6030442,3239,1,1,1,1,0.01,0.01,0,0,0
128,6533H,6533,42,275,4,4,Hydro-3,1,24,192.129,0,0,0,1.375,120,120,0,275,0,275,0,275,0,275,1,1,1,1,0.01,0.01,0,0,0
129,6533S,6533,0,1407,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,1407,0,1407,0,1407,0,1407,1,1,1,1,0.01,0.01,0,0,0
130,6533W,6533,0,391,0.25,0.25,Wind-2,1,3,205.517,0,0,0,500,6,15,0,391,0,391,0,391,0,391,1,1,1,1,0.01,0.01,0,0,0
131,7031C,7031,625.4,3127,168,48,Steam,1,24,2973.973708,183879,0,55163.7,20,225,225,2.846751928,3127,0,3127,0,3127,0,3127,1,1,1,1,0.01,0.01,0,0,0
132,7031G,7031,0,6346,12,8,Gas,0,32,0,285045,0,85513.5,4.352,6,15,40.90019672,2064.270076,53.65648185,3582.517208,67.44242229,5084.080306,71.33223121,6346,1,1,1,1,0.01,0.01,0,0,0
133,7031P,7031,-509,509,0,0,PV-2,0,24,0,0,0,0,500,0,0,0,509,0,509,0,509,0,509,1,1,1,1,0.01,0.01,0,0,0
134,7031W,7031,0,3106,0.25,0.25,Wind-2,1,24,1632.949,0,0,0,500,6,15,0,3106,0,3106,0,3106,0,3106,1,1,1,1,0.01,0.01,0,0,0
135,7032C,7032,364.2,1821,96,48,Steam,1,24,1821,115098,0,34529.4,20,135,135,2.846751928,1821,0,1821,0,1821,0,1821,1,1,1,1,0.01,0.01,0,0,0
136,7032G,7032,0,1483,6,8,Gas,0,4,0,47649,0,9529.8,3.75756,6,15,40.90019672,859.7760736,53.65648185,981.0848671,60.69245975,1067.517382,71.33223121,1483,1,1,1,1,0.01,0.01,0,0,0
137,7032H,7032,101,672,4,4,Hydro-3,1,24,363.394,0,0,0,3.36,120,120,0,672,0,672,0,672,0,672,1,1,1,1,0.01,0.01,0,0,0
138,7032S,7032,0,738,0.25,0.25,PV-2,1,24,0,0,0,0,500,6,15,0,738,0,738,0,738,0,738,1,1,1,1,0.01,0.01,0,0,0
139,8033H,8033,211,1394,4,4,Hydro-3,1,24,562.269,0,0,0,6.97,120,120,0,1394,0,1394,0,1394,0,1394,1,1,1,1,0.01,0.01,0,0,0
140,8034G,8034,0,3754,8,8,Gas,1,24,530.12262,256104,0,76831.2,4.603,6,15,41.05000388,1942.988281,43.11685722,2830.164063,53.85301208,3193.832813,71.59350327,3754,1,1,1,1,0.01,0.01,0,0,0
141,8034H,8034,82,544,4,4,Hydro-3,1,24,193.373,0,0,0,2.72,120,120,0,544,0,544,0,544,0,544,1,1,1,1,0.01,0.01,0,0,0
142,2619DC,2619,0,3000,0.5,0.5,Geothermal,1,24,100,0,0,0,500,6,15,0,3000,0,3000,0,3000,0,3000,1,1,1,1,0.01,0.01,0,0,0
143,2600DC,2600,0,3000,0.5,0.5,Geothermal,1,24,100,0,0,0,500,6,15,0,3000,0,3000,0,3000,0,3000,1,1,1,1,0.01,0.01,0,0,0
