,county,latitude_x,longitude_x,state,latitude_y,longitude_y,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW]
26,Fresno,36.743848,-119.765291,CA,36.176746,-120.115349,383759,Gates Solar Station,2013,PV,fixed-tilt,180.0,25.0,,20.0
27,Fresno,36.743848,-119.765291,CA,36.759624,-120.365929,161468,CalRenew-1,2010,PV,fixed-tilt,198.0,20.0,,5.0
28,Fresno,36.743848,-119.765291,CA,36.395424,-120.10778,346422,Five Points Solar Station,2011,PV,fixed-tilt,180.0,25.0,,15.0
29,Fresno,36.743848,-119.765291,CA,36.523819,-120.123306,363847,Stroud Solar Station,2011,PV,fixed-tilt,180.0,25.0,,20.0
30,Fresno,36.743848,-119.765291,CA,36.141884,-120.132736,185941,West Gates Solar Station,2013,PV,fixed-tilt,180.0,25.0,,10.0
31,Fresno,36.743848,-119.765291,CA,36.37817,-120.123962,271465,Westside Solar Station,2011,PV,fixed-tilt,180.0,25.0,,15.0
32,Fresno,36.743848,-119.765291,CA,36.424538,-120.343079,469938,Cantua Solar Station,2012,PV,fixed-tilt,180.0,25.0,,20.0
33,Fresno,36.743848,-119.765291,CA,36.527916,-120.311974,235191,Giffen,2012,PV,fixed-tilt,180.0,25.0,,10.0
34,Fresno,36.743848,-119.765291,CA,36.678879,-119.797539,44540,La Joya Del Sol,2012,PV,single-axis,90.0,,,1.5
35,Fresno,36.743848,-119.765291,CA,36.78363,-119.713173,12623,Gap Pacific Distribution Center,2008,PV,single-axis,90.0,,,1.2
36,Fresno,36.743848,-119.765291,CA,36.393475,-120.23996,1633012,Five Points Solar Park,2016,PV,single-axis,180.0,,,60.0
37,Fresno,36.743848,-119.765291,CA,36.876816,-120.667732,415699,Oro Loma,2017,PV,single-axis,0.0,0.0,,20.0
38,Fresno,36.743848,-119.765291,CA,36.554382,-120.339149,562087,Giffen Solar Park,2017,PV,single-axis,180.0,,,20.0
39,Fresno,36.743848,-119.765291,CA,36.54837,-120.345673,239655,Aspiration G,2017,PV,single-axis,90.0,,,9.0
40,Fresno,36.743848,-119.765291,CA,36.585163,-120.379234,5232355,"Great Valley Solar Portfolio Holdings, LLC",2018,PV,single-axis,0.0,0.0,,200.0
41,Fresno,36.743848,-119.765291,CA,36.578026,-120.405678,6694260,RE Tranquillity,2016,PV,single-axis,90.0,,batteries,205.3
42,Fresno,36.743848,-119.765291,CA,36.127567,-120.142067,359003,Westlands Solar PV Farm,2014,PV,single-axis,180.0,,,18.0
43,Fresno,36.743848,-119.765291,CA,36.613281,-120.383492,607643,"RE Adams East, LLC",2014,PV,single-axis,180.0,45.0,,19.0
44,Fresno,36.743848,-119.765291,CA,36.72736,-120.414696,1819693,North Star Solar,2015,PV,single-axis,90.0,,,62.5
45,Fresno,36.743848,-119.765291,CA,36.667408,-119.416725,60055,2081 Terzian Solar Project,2014,PV,dual-axis,180.0,,,1.2
46,Fresno,36.743848,-119.765291,CA,36.721848,-120.430099,134148,Citizen B,2015,PV,fixed-tilt,180.0,25.0,,5.0
47,Fresno,36.743848,-119.765291,CA,36.126663,-120.243256,44405,DSH (CA)-Coalinga State Hospital,2014,PV,single-axis,0.0,0.0,,2.6
48,Fresno,36.743848,-119.765291,CA,36.12606,-120.247841,26824,CDCR (CA)-Pleasant Valley State Prison,2014,PV,single-axis,0.0,0.0,,1.2
49,Fresno,36.743848,-119.765291,CA,36.716335,-120.414268,1121239,"Little Bear Solar 1, LLC",2020,PV,single-axis,180.0,,,40.0
50,Fresno,36.743848,-119.765291,CA,36.374847,-120.134209,498516,Whitney Point Solar,2017,PV,single-axis,0.0,0.0,,20.0
51,Fresno,36.743848,-119.765291,CA,36.382015,-120.134499,497333,NextEra Westside PV,2017,PV,single-axis,0.0,0.0,,20.0
52,Fresno,36.743848,-119.765291,CA,36.524509,-120.146873,480957,San Joaquin Solar,2019,PV,single-axis,180.0,,,18.5
53,Fresno,36.743848,-119.765291,CA,36.62059,-119.668045,30334,National Raisin,2015,PV,"fixed-tilt,single-axis",202.0,5.0,,2.5
54,Fresno,36.743848,-119.765291,CA,36.61668,-120.104317,69287,Fresno Solar,2015,PV,single-axis,90.0,,,3.0
55,Fresno,36.743848,-119.765291,CA,36.716282,-120.395767,1018771,Little Bear 3,2020,PV,single-axis,180.0,0.0,,20.0
56,Fresno,36.743848,-119.765291,CA,36.709023,-120.414383,1128758,Little Bear 4,2020,PV,single-axis,180.0,0.0,,50.0
57,Fresno,36.743848,-119.765291,CA,36.709126,-120.396652,1128452,Little Bear 5,2020,PV,single-axis,180.0,0.0,,50.0
58,Fresno,36.743848,-119.765291,CA,36.58503,-119.470062,28185,Moonlight Packing-Phase 2,2019,PV,fixed-tilt,180.0,20.0,,1.4
59,Fresno,36.743848,-119.765291,CA,36.73465,-120.614746,14322,Firebaugh-CCS-PV-1,2015,PV,fixed-tilt,180.0,25.0,,1.0
60,Fresno,36.743848,-119.765291,CA,36.647923,-120.246155,21515,Tranquillity ID,2018,PV,single-axis,180.0,0.0,,1.3
61,Fresno,36.743848,-119.765291,CA,36.659012,-119.732803,56718,CA - Fresno County - Juvenile Hall,2022,PV,single-axis,180.0,,,2.8
62,Fresno,36.743848,-119.765291,CA,36.7234,-119.774338,10179,OK Produce Fresno Carport,2019,PV,fixed-tilt,180.0,7.0,,2.0
63,Fresno,36.743848,-119.765291,CA,36.634365,-120.175117,132161,Crystal Farms Local Solar,2023,PV,single-axis,180.0,52.0,,3.5
64,Fresno,36.743848,-119.765291,CA,36.610489,-120.357079,10586984,Scarlet Solar (CA),2024,PV,single-axis,180.0,0.0,batteries,200.0
65,Fresno,36.743848,-119.765291,CA,36.131405,-120.25264,25870,CA-DGS RFP-Pleasant Valley State Prison,2024,PV,fixed-tilt,180.0,0.0,,2.0
66,Fresno,36.743848,-119.765291,CA,36.811874,-119.741699,64841,CSU Fresno Solar Project,2007,PV,fixed-tilt,180.0,16.0,,1.0
67,Fresno,36.743848,-119.765291,CA,36.88517,-119.731979,14431,SCCCD - Clovis Community College,2018,PV,fixed-tilt,269.0,7.0,,1.2
68,Fresno,36.743848,-119.765291,CA,36.76545,-119.797356,20631,SCCCD - Fresno Community College,2018,PV,single-axis,180.0,7.0,,2.2
69,Fresno,36.743848,-119.765291,CA,36.608727,-119.458527,28852,Reedley Community College Solar,2018,PV,single-axis,180.0,7.0,,2.6
70,Fresno,36.743848,-119.765291,CA,36.818798,-119.809906,11786,Fresno Bullard High School Hybrid,2020,PV,fixed-tilt,180.0,7.0,batteries,1.2
71,Fresno,36.743848,-119.765291,CA,36.818829,-119.771309,12081,Fresno Hoover High School Hybrid,2020,PV,fixed-tilt,270.0,7.0,batteries,1.2
72,Fresno,36.743848,-119.765291,CA,36.734291,-119.717804,16410,Fresno Sunnyside High School Hybrid,2020,PV,fixed-tilt,270.0,7.0,batteries,1.6
73,Fresno,36.743848,-119.765291,CA,36.504601,-120.091835,24842,Van der Hoek Solar Array/ Dairy,2017,PV,single-axis,40.0,40.0,,2.4
74,Fresno,36.743848,-119.765291,CA,36.656609,-119.587479,10768,POM Juice Solar,2021,PV,fixed-tilt,35.0,0.0,,1.5
75,Fresno,36.743848,-119.765291,CA,36.658768,-119.586334,23257,POM Plant 2,2021,PV,fixed-tilt,26.0,26.0,,1.6
76,Fresno,36.743848,-119.765291,CA,36.658302,-119.584602,38654,POM Beverage Solar,2021,PV,fixed-tilt,35.0,0.0,,1.8
77,Fresno,36.743848,-119.765291,CA,36.656933,-119.585739,45833,POM Plant 1,2021,PV,fixed-tilt,26.0,,,2.4
78,Fresno,36.743848,-119.765291,CA,36.816257,-119.681107,13319,Clovis High School,2018,PV,single-axis,270.0,7.0,,1.0
79,Fresno,36.743848,-119.765291,CA,36.798954,-119.637794,15853,Clovis East High School,2018,PV,single-axis,270.0,7.0,,1.0
80,Fresno,36.743848,-119.765291,CA,36.890087,-119.738083,18634,Clovis North High School,2017,PV,single-axis,270.0,7.0,,1.0
81,Fresno,36.743848,-119.765291,CA,36.157837,-120.11573,3586333,"Fifth Standard Solar PV, LLC (Hybrid)",2020,PV,single-axis,0.0,0.0,batteries,150.0
82,Fresno,36.743848,-119.765291,CA,36.486404,-120.045135,24378,Van der Kooi Dairy Solar Array,2021,PV,fixed-tilt,40.0,40.0,,1.0
83,Glenn,39.665777,-122.179287,CA,39.699081,-122.175385,39071,"Enerparc CA2, LLC",2016,PV,single-axis,0.0,0.0,,1.5
84,Humboldt,40.757636,-124.088127,CA,40.967377,-124.104408,28995,Redwood Coast Airport Microgrid,2021,PV,fixed-tilt,225.0,34.0,batteries,1.8
85,Imperial,32.841599,-115.540049,CA,32.96711,-115.532692,20475,Crown Cooling Facility,2011,PV,fixed-tilt,180.0,30.0,,1.0
86,Imperial,32.841599,-115.540049,CA,32.983337,-115.481895,125986,Community Solar 1,2014,PV,single-axis,180.0,,,6.0
87,Imperial,32.841599,-115.540049,CA,32.770428,-115.784019,3584553,Imperial Solar Energy Center West,2016,PV,single-axis,180.0,0.0,,148.7
88,Imperial,32.841599,-115.540049,CA,33.083042,-115.468666,1312735,Solar Gen 2 Solar Facility,2014,PV,single-axis,90.0,,,155.1
89,Imperial,32.841599,-115.540049,CA,33.246208,-115.497093,382874,"Imperial Valley Solar Company 1, LLC",2012,PV,fixed-tilt,180.0,30.0,,23.0
90,Imperial,32.841599,-115.540049,CA,32.746948,-115.71212,3347406,Campo Verde Solar,2013,PV,fixed-tilt,180.0,25.0,,147.4
91,Imperial,32.841599,-115.540049,CA,33.116482,-116.00161,583260,Seville 1,2015,PV,single-axis,180.0,,,20.0
92,Imperial,32.841599,-115.540049,CA,33.109169,-116.002991,813391,Seville 2,2015,PV,single-axis,180.0,,,30.0
93,Imperial,32.841599,-115.540049,CA,33.165623,-115.531883,530209,Calipatria Solar Farm,2016,PV,single-axis,90.0,,,20.0
94,Imperial,32.841599,-115.540049,CA,33.25264,-115.497803,392624,"Imperial Valley Solar Co (IVSC) 2, LLC",2015,PV,fixed-tilt,180.0,25.0,,20.0
95,Imperial,32.841599,-115.540049,CA,32.803329,-115.54512,416174,Sol Orchard El Centro PV,2013,PV,single-axis,0.0,0.0,,20.0
96,Imperial,32.841599,-115.540049,CA,33.165443,-115.540627,524049,Midway Solar Farm II,2017,PV,single-axis,180.0,60.0,,30.0
97,Imperial,32.841599,-115.540049,CA,33.165607,-115.549263,1014053,Midway Solar Farm I,2018,PV,single-axis,180.0,90.0,,50.0
98,Imperial,32.841599,-115.540049,CA,32.793358,-115.781479,91830,SEPV Imperial Dixieland West,2016,PV,single-axis,90.0,0.0,,2.9
99,Imperial,32.841599,-115.540049,CA,32.793472,-115.773224,70589,SEPV Imperial Dixieland East,2016,PV,single-axis,90.0,0.0,,1.9
100,Imperial,32.841599,-115.540049,CA,33.043678,-115.627655,47624,Valencia 1 Solar CA,2017,PV,fixed-tilt,180.0,20.0,,3.0
101,Imperial,32.841599,-115.540049,CA,32.790409,-115.863281,20476,USG 2,2015,PV,fixed-tilt,180.0,25.0,,1.0
102,Imperial,32.841599,-115.540049,CA,32.831966,-115.506302,58947,IVC Solar,2016,PV,single-axis,180.0,0.0,,3.0
103,Imperial,32.841599,-115.540049,CA,33.158398,-115.535751,1021608,Midway Solar Farm III,2018,PV,single-axis,0.0,,,20.0
104,Imperial,32.841599,-115.540049,CA,33.186401,-115.428879,544812,Citizens Imperial Solar,2019,PV,single-axis,180.0,,,30.0
105,Imperial,32.841599,-115.540049,CA,32.793209,-115.85743,19259,USG 1,2014,PV,single-axis,180.0,0.0,,1.0
106,Imperial,32.841599,-115.540049,CA,33.101456,-116.000259,1502079,Titan Solar 1 (CA),2020,PV,single-axis,15.0,,,75.0
107,Imperial,32.841599,-115.540049,CA,32.910698,-115.512276,46493,Valencia 2,2020,PV,fixed-tilt,0.0,0.0,,3.0
108,Imperial,32.841599,-115.540049,CA,32.885201,-115.537155,54423,Valencia 3,2021,PV,single-axis,0.0,52.0,,3.0
109,Imperial,32.841599,-115.540049,CA,32.825455,-115.775314,171492,Centinela State Prison,2019,PV,single-axis,180.0,52.0,,6.0
110,Imperial,32.841599,-115.540049,CA,33.166496,-115.495567,168871,Calipatria State Prison,2019,PV,single-axis,180.0,52.0,,6.0
111,Imperial,32.841599,-115.540049,CA,32.660358,-115.629929,4075713,Mount Signal Solar Farm II,2020,PV,single-axis,0.0,0.0,,153.5
112,Imperial,32.841599,-115.540049,CA,32.668293,-115.559746,6389510,Mount Signal Solar Farm V,2018,PV,single-axis,180.0,,,252.3
113,Imperial,32.841599,-115.540049,CA,33.273731,-115.505333,366108,Wister Solar,2018,PV,single-axis,185.0,31.0,,20.0
114,Imperial,32.841599,-115.540049,CA,32.71402,-115.540543,220619,Heber Solar,2014,PV,single-axis,0.0,0.0,,10.0
115,Imperial,32.841599,-115.540049,CA,32.674442,-115.602257,6503828,"Imperial Valley Solar, LLC",2014,PV,single-axis,180.0,0.0,,206.7
116,Imperial,32.841599,-115.540049,CA,32.661415,-115.606285,2536563,Wistaria Ranch Solar,2018,PV,single-axis,0.0,,,100.0
117,Imperial,32.841599,-115.540049,CA,32.683117,-115.646942,5104086,Centinela Solar Energy,2014,PV,single-axis,90.0,,,170.0
118,Imperial,32.841599,-115.540049,CA,32.660618,-115.660683,2741905,Imperial Solar Energy Center South,2013,PV,fixed-tilt,180.0,25.0,,130.0
119,Imperial,32.841599,-115.540049,CA,32.686687,-115.667511,2713735,"Drew Solar, LLC",2022,PV,single-axis,180.0,60.0,,100.0
120,Inyo,37.171422,-118.268567,CA,36.264843,-117.995407,51897,Munro Valley Solar,2016,PV,fixed-tilt,180.0,25.0,,4.0
121,Inyo,37.171422,-118.268567,CA,36.268425,-117.983017,28875,Owens Valley Solar Project 11,2017,PV,fixed-tilt,190.0,30.0,,1.0
122,Inyo,37.171422,-118.268567,CA,35.804916,-117.349808,29202,Trona Solar III,2022,PV,single-axis,52.0,,,2.0
123,Kern,35.369809,-118.941786,CA,34.903488,-118.242989,501866,"RE Rosamond Two, LLC",2014,PV,single-axis,90.0,,,20.0
124,Kern,35.369809,-118.941786,CA,35.018776,-118.175522,1135053,"RE Columbia 3, LLC",2014,PV,single-axis,90.0,,,10.0
125,Kern,35.369809,-118.941786,CA,34.904114,-118.251244,491623,"RE Rosamond One, LLC",2014,PV,single-axis,90.0,,,20.0
126,Kern,35.369809,-118.941786,CA,35.103962,-118.954208,516716,Adobe Solar,2014,PV,single-axis,90.0,,,19.6
127,Kern,35.369809,-118.941786,CA,35.402756,-119.038055,19331,Improvement Dst No. 4,2009,PV,fixed-tilt,180.0,22.0,,1.1
128,Kern,35.369809,-118.941786,CA,35.64764,-119.716316,27556,Nickel 1 Solar Facility,2012,PV,fixed-tilt,180.0,25.0,,1.5
129,Kern,35.369809,-118.941786,CA,35.229507,-118.193428,124781,Pine Tree Solar Project,2013,PV,fixed-tilt,180.0,30.0,,8.5
130,Kern,35.369809,-118.941786,CA,34.930923,-118.333778,2210755,"Catalina Solar, LLC",2012,PV,fixed-tilt,178.0,20.0,,110.0
131,Kern,35.369809,-118.941786,CA,35.299591,-118.848846,1703174,Regulus Solar Project,2014,PV,single-axis,0.0,0.0,,60.0
132,Kern,35.369809,-118.941786,CA,35.634281,-117.651581,202780,Naval Air Weapons Station China Lake,2012,PV,single-axis,0.0,0.0,,11.1
133,Kern,35.369809,-118.941786,CA,35.048908,-118.16391,4603,"RE Rio Grande Solar, LLC",2013,PV,single-axis,90.0,,,5.0
134,Kern,35.369809,-118.941786,CA,34.907639,-117.920593,28966,Edwards Air Force Base,2011,PV,single-axis,180.0,20.0,,3.0
135,Kern,35.369809,-118.941786,CA,34.829704,-118.4795,3067334,RE Astoria 2,2016,PV,single-axis,0.0,0.0,,75.0
136,Kern,35.369809,-118.941786,CA,35.020439,-118.278366,569869,SEPV Mojave West,2016,PV,single-axis,90.0,,,20.0
137,Kern,35.369809,-118.941786,CA,35.608788,-119.844429,389390,Blackwell Solar Park,2019,PV,single-axis,0.0,,,20.0
138,Kern,35.369809,-118.941786,CA,35.145836,-118.887207,345018,Orion Solar I,2014,PV,single-axis,90.0,,,12.0
139,Kern,35.369809,-118.941786,CA,35.148876,-118.885277,299602,Orion Solar II,2014,PV,single-axis,90.0,,,8.0
140,Kern,35.369809,-118.941786,CA,35.415836,-119.62941,497879,"Rio Bravo Solar 1, LLC",2016,PV,single-axis,180.0,,,19.5
141,Kern,35.369809,-118.941786,CA,35.416023,-119.638252,497758,Pumpjack Solar I,2015,PV,single-axis,180.0,,,20.0
142,Kern,35.369809,-118.941786,CA,35.619049,-119.568939,518004,"Wildwood Solar I, LLC",2015,PV,single-axis,180.0,,,20.0
143,Kern,35.369809,-118.941786,CA,35.125679,-119.2425,495014,"Algonquin SKIC 20 Solar, LLC",2015,PV,single-axis,180.0,,,22.0
144,Kern,35.369809,-118.941786,CA,35.323326,-118.82045,292174,Woodmere Solar Farm,2015,PV,single-axis,90.0,,,15.0
145,Kern,35.369809,-118.941786,CA,35.247032,-118.034775,678687,Beacon Solar Plant Site 5,2017,PV,single-axis,180.0,60.0,,36.0
146,Kern,35.369809,-118.941786,CA,35.251896,-118.02507,968727,Hecate Energy Beacon Solar 4,2016,PV,single-axis,90.0,,,50.0
147,Kern,35.369809,-118.941786,CA,35.266567,-118.015305,1225167,Hecate Energy Beacon Solar 1,2017,PV,single-axis,90.0,,,56.0
148,Kern,35.369809,-118.941786,CA,35.260677,-117.997475,898395,Beacon Solar Plant Site 2,2017,PV,single-axis,180.0,60.0,,45.0
149,Kern,35.369809,-118.941786,CA,35.251659,-117.956573,2329555,Springbok Solar Farm 1,2016,PV,single-axis,90.0,,,105.0
150,Kern,35.369809,-118.941786,CA,35.248543,-118.009056,1217175,Hecate Energy Beacon Solar 3,2016,PV,single-axis,90.0,,,56.0
151,Kern,35.369809,-118.941786,CA,35.24881,-117.973625,2994264,Springbok Solar Farm 2,2016,PV,single-axis,90.0,,,155.0
152,Kern,35.369809,-118.941786,CA,34.982067,-117.892044,28742,EAFB-North Base,2012,PV,single-axis,180.0,25.0,,1.1
153,Kern,35.369809,-118.941786,CA,35.315151,-118.988304,33762,Bakersfield 111,2015,PV,single-axis,180.0,0.0,,1.4
154,Kern,35.369809,-118.941786,CA,35.218914,-119.081123,595953,"RE Old River One, LLC",2014,PV,single-axis,180.0,45.0,,19.6
155,Kern,35.369809,-118.941786,CA,35.623013,-119.854256,921006,Lost Hills/Blackwell,2015,PV,single-axis,90.0,,,32.0
156,Kern,35.369809,-118.941786,CA,35.727085,-119.905586,260252,Coronal Lost Hills,2015,PV,single-axis,90.0,,,20.0
157,Kern,35.369809,-118.941786,CA,35.450699,-119.127029,491967,"Shafter Solar, LLC",2015,PV,single-axis,0.0,0.0,,20.0
158,Kern,35.369809,-118.941786,CA,34.92268,-118.361946,662706,"Catalina Solar 2, LLC",2015,PV,single-axis,180.0,45.0,,18.4
159,Kern,35.369809,-118.941786,CA,35.590714,-119.576134,454172,"Cottonwood Solar, LLC (Goose Lake)",2015,PV,single-axis,180.0,45.0,,12.0
160,Kern,35.369809,-118.941786,CA,35.112312,-119.326744,527772,"Maricopa West Solar PV, LLC",2015,PV,single-axis,180.0,45.0,,20.0
161,Kern,35.369809,-118.941786,CA,35.728104,-119.896812,371861,Morelos del Sol,2015,PV,single-axis,90.0,,,15.0
162,Kern,35.369809,-118.941786,CA,35.02166,-118.289597,354355,"Windhub Solar A, LLC",2019,PV,single-axis,90.0,,,20.0
163,Kern,35.369809,-118.941786,CA,35.629322,-119.574699,419750,Wildwood Solar II,2017,PV,single-axis,180.0,,,14.7
164,Kern,35.369809,-118.941786,CA,34.824081,-118.441193,480485,"Kingbird A Solar, LLC",2016,PV,single-axis,180.0,,,20.0
165,Kern,35.369809,-118.941786,CA,34.844391,-118.452705,1655609,RE Astoria,2016,PV,single-axis,0.0,0.0,,100.0
166,Kern,35.369809,-118.941786,CA,35.321823,-118.812241,536022,Redcrest Solar Farm,2015,PV,single-axis,90.0,,,16.7
167,Kern,35.369809,-118.941786,CA,35.327858,-118.815445,689462,Hayworth Solar,2015,PV,single-axis,90.0,,,26.7
168,Kern,35.369809,-118.941786,CA,35.423538,-119.629257,522003,"Rio Bravo Solar II, LLC",2016,PV,single-axis,180.0,,,19.5
169,Kern,35.369809,-118.941786,CA,35.667866,-119.876694,410317,Wonderful Lost Hills,2021,PV,single-axis,35.0,,,16.7
170,Kern,35.369809,-118.941786,CA,34.820843,-118.441154,481083,"Kingbird B Solar, LLC",2016,PV,single-axis,180.0,,,20.0
171,Kern,35.369809,-118.941786,CA,35.157379,-117.983398,49408,California City,2018,PV,single-axis,180.0,,,1.9
172,Kern,35.369809,-118.941786,CA,35.777786,-119.30732,150131,North Kern State Prison Phase II,2012,PV,single-axis,180.0,0.0,,4.0
173,Kern,35.369809,-118.941786,CA,35.141533,-117.965675,63433,Cal City Solar 1,2019,PV,single-axis,180.0,30.0,,3.0
174,Kern,35.369809,-118.941786,CA,34.826447,-118.532463,5147746,RE Garland,2016,PV,single-axis,90.0,,batteries,180.0
175,Kern,35.369809,-118.941786,CA,35.210972,-119.387527,39783,Castor Solar,2016,PV,fixed-tilt,180.0,25.0,,1.5
176,Kern,35.369809,-118.941786,CA,35.315041,-118.81031,419694,Redwood 4 Solar Farm,2017,PV,single-axis,0.0,0.0,,20.0
177,Kern,35.369809,-118.941786,CA,35.205166,-118.069511,1763685,RE Barren Ridge 1,2016,PV,single-axis,0.0,0.0,,62.0
178,Kern,35.369809,-118.941786,CA,35.326801,-118.978775,111509,Bakersfield PV 1,2017,PV,single-axis,90.0,,,5.3
179,Kern,35.369809,-118.941786,CA,35.759178,-119.348351,20734,Delano Land 1,2017,PV,single-axis,90.0,,,1.0
180,Kern,35.369809,-118.941786,CA,35.329895,-118.993202,17202,Bakersfield Industrial PV 1,2017,PV,fixed-tilt,180.0,20.0,,1.0
181,Kern,35.369809,-118.941786,CA,35.590885,-119.404785,36274,CDCR (CA)-Wasco State Prison,2013,PV,single-axis,180.0,0.0,,1.5
182,Kern,35.369809,-118.941786,CA,35.127754,-119.249344,220387,"Algonquin SKIC 10 Solar, LLC",2017,PV,single-axis,180.0,,,10.0
183,Kern,35.369809,-118.941786,CA,34.821144,-118.497643,863794,RE Garland A,2016,PV,single-axis,90.0,,,20.0
184,Kern,35.369809,-118.941786,CA,35.284988,-118.005135,2150143,Springbok 3 Solar Farm Hybrid,2019,PV,single-axis,180.0,,batteries,90.0
185,Kern,35.369809,-118.941786,CA,35.213745,-119.395088,60114,Eagle Creek,2019,PV,single-axis,180.0,0.0,,3.0
186,Kern,35.369809,-118.941786,CA,35.603252,-119.697304,741030,Chevron-Lost Hills Hybrid,2020,PV,single-axis,180.0,62.0,,29.0
187,Kern,35.369809,-118.941786,CA,34.830055,-118.371048,3986939,"Golden Field Solar III, LLC",2020,PV,single-axis,180.0,,batteries,192.0
188,Kern,35.369809,-118.941786,CA,35.734371,-119.732277,133457,Wonderful Orchards-Westside,2021,PV,single-axis,35.0,,,5.0
189,Kern,35.369809,-118.941786,CA,35.501225,-119.748741,121538,Wonderful Orchards-Belridge,2020,PV,single-axis,35.0,,,5.0
190,Kern,35.369809,-118.941786,CA,35.575752,-119.786575,31971,Wonderful Huller & Shellling,2021,PV,single-axis,35.0,,,1.5
191,Kern,35.369809,-118.941786,CA,34.829086,-118.568596,892210,"RE Gaskell West 2, LLC",2023,PV,single-axis,180.0,,,45.0
192,Kern,35.369809,-118.941786,CA,34.825783,-118.58213,1024295,"RE Gaskell West 3, LLC",2023,PV,single-axis,180.0,,,20.0
193,Kern,35.369809,-118.941786,CA,34.836922,-118.550117,689009,Gaskell West 1 Solar Facility,2018,PV,single-axis,90.0,,,20.0
