usps,fips,county,latitude,longitude,geocode
AL,01097,Mobile County,30.684572,-88.196568,dj3q91
AL,01099,Monroe County,31.580332,-87.383266,dj9get
AL,01101,Montgomery County,32.202881,-86.204461,djdxnq
AL,01103,Morgan County,34.454484,-86.846402,dn4hpb
AL,01105,Perry County,32.639005,-87.293827,djcctt
AL,01107,Pickens County,33.296793,-88.096863,djcm7m
AL,01109,Pike County,31.798651,-85.941604,djduuk
AL,01111,Randolph County,33.296475,-85.464068,djgjrj
AL,01113,Russell County,32.289811,-85.18698,djertw
AL,01115,St. Clair County,33.712963,-86.315663,djfxgc
AL,01117,Shelby County,33.263043,-86.678089,djfm5x
AL,01119,Sumter County,32.597481,-88.200057,djc32y
AL,01121,Talladega County,33.369314,-86.17593,djftz4
AL,01123,Tallapoosa County,32.863308,-85.799618,djffzw
AL,01125,Tuscaloosa County,33.29022,-87.522783,djcv2k
AL,01127,Walker County,33.791558,-87.301094,dn1bjr
AL,01129,Washington County,31.405217,-88.197564,dj969j
AL,01131,Wilcox County,31.990082,-87.304935,dj9vvr
AL,01133,Winston County,34.154566,-87.365346,dn1f7c
AK,02013,Aleutians East Borough,55.245044,-161.997477,b3uf39
AK,02016,Aleutians West Census Area,51.948964,179.621188,zcpxx3
AK,02020,Anchorage Municipality,61.17425,-149.284329,bdvu4b
AK,02050,Bethel Census Area,60.929141,-160.152625,b6y4ee
AK,02060,Bristol Bay Borough,58.741647,-156.966909,bd2qhj
AK,02068,Denali Borough,63.682039,-150.027016,bem660
AK,02070,Dillingham Census Area,59.543326,-158.267123,b6x6wx
AK,02090,Fairbanks North Star Borough,64.676044,-146.548159,berzcj
AK,02100,Haines Borough,59.098404,-135.575791,bfx84y
AK,02105,Hoonah-Angoon Census Area,58.253462,-136.320731,bfr53u
AK,02110,Juneau City and Borough,58.37291,-134.178445,c42s4d
AK,02122,Kenai Peninsula Borough,60.360766,-152.05264,bdez7u
AK,02130,Ketchikan Gateway Borough,55.449938,-131.106685,c1fg2w
AK,02150,Kodiak Island Borough,57.7044,-153.918372,bd6838
AK,02158,Kusilvak Census Area,62.283588,-163.190171,b75fqd
AK,02164,Lake and Peninsula Borough,58.108507,-156.413413,bd2f8d
AK,02170,Matanuska-Susitna Borough,62.279094,-149.619094,bejd73
AK,02180,Nome Census Area,64.783686,-164.188912,b7e0xc
AK,02185,North Slope Borough,69.449343,-153.47283,bs6g5d
AK,02188,Northwest Arctic Borough,67.005066,-160.021086,b7yjnt
AK,02195,Petersburg Borough,57.112458,-133.008598,c41kvm
AK,02198,Prince of Wales-Hyder Census Area,55.682773,-133.162389,c1ckcb
AK,02220,Sitka City and Borough,57.193204,-135.367396,bfptre
AK,02230,Skagway Municipality,59.560379,-135.338279,bfxfb6
AK,02240,Southeast Fairbanks Census Area,63.864997,-143.218628,bg65kf
AK,02261,Valdez-Cordova Census Area,61.349843,-145.023109,bfbv5b
AK,02275,Wrangell City and Borough,56.317416,-132.343978,c41bkk
AK,02282,Yakutat City and Borough,60.017453,-140.416942,bfsjkt
AK,02290,Yukon-Koyukuk Census Area,65.375727,-151.57785,bes5yv
AZ,04001,Apache County,35.385084,-109.490172,9w61k3
AZ,04003,Cochise County,31.840129,-109.775163,9t9vnh
AZ,04005,Coconino County,35.829692,-111.773728,9w2ebd
AZ,04007,Gila County,33.789618,-110.81187,9w10nr
AZ,04009,Graham County,32.931828,-109.87831,9tcg7e
AZ,04011,Greenlee County,33.238872,-109.242323,9tfm44
AZ,04012,La Paz County,33.72761,-114.038806,9myzug
AZ,04013,Maricopa County,33.345176,-112.49893,9tbj8n
AZ,04015,Mohave County,35.717705,-113.749689,9qr55w
AZ,04017,Navajo County,35.390785,-110.321025,9w393d
AZ,04019,Pima County,32.128043,-111.783657,9t8wb2
AZ,04021,Pinal County,32.918521,-111.36634,9tbg3b
AZ,04023,Santa Cruz County,31.525733,-110.845228,9t95me
AZ,04025,Yavapai County,34.631071,-112.577225,9qpvn0
AZ,04027,Yuma County,32.773942,-113.910905,9myfry
AR,05001,Arkansas County,34.28957,-91.376547,9yp50d
AR,05003,Ashley County,33.190835,-91.772267,9vyszd
AR,05005,Baxter County,36.280268,-92.329949,9yqq6u
AR,05007,Benton County,36.337819,-94.256298,9ykyxp
AR,05009,Boone County,36.304299,-93.079236,9ymy9b
AR,05011,Bradley County,33.466549,-92.169156,9vyqqs
AR,05013,Calhoun County,33.56046,-92.513879,9vynyv
AR,05015,Carroll County,36.33737,-93.540972,9ymqxr
AR,05017,Chicot County,33.267139,-91.297158,9vzj62
AR,05019,Clark County,34.053316,-93.176208,9yj9xx
AR,05021,Clay County,36.367302,-90.418704,9yrwyk
AR,05023,Cleburne County,35.566315,-92.05995,9yqd34
AR,05025,Cleveland County,33.893201,-92.188714,9yn2y4
AR,05027,Columbia County,33.223038,-93.232843,9vvtn2
AR,05029,Conway County,35.265702,-92.689248,9yq0dg
AR,05031,Craighead County,35.827729,-90.631421,9yrecd
AR,05033,Crawford County,35.583011,-94.236219,9ykfrt
AR,05035,Crittenden County,35.211879,-90.315332,9yrb2f
AR,05037,Cross County,35.285692,-90.763984,9yr2wx
AR,05039,Dallas County,33.967823,-92.653999,9yn15x
AR,05041,Desha County,33.828752,-91.244103,9yp07w
AR,05043,Drew County,33.587242,-91.722778,9vyz0f
AR,05045,Faulkner County,35.146548,-92.336928,9ynrfy
AR,05047,Franklin County,35.508558,-93.887665,9ym4p8
AR,05049,Fulton County,36.383619,-91.819664,9yqwyx
AR,05051,Garland County,34.578852,-93.146932,9yju8q
AR,05053,Grant County,34.285568,-92.422979,9yn70c
AR,05055,Greene County,36.120607,-90.566346,9yrt7p
AR,05057,Hempstead County,33.735953,-93.664355,9vvrut
AR,05059,Hot Spring County,34.315177,-92.944147,9yjgjn
AR,05061,Howard County,34.083064,-93.990931,9yj1vh
AR,05063,Independence County,35.737499,-91.559942,9yqgk9
AR,05065,Izard County,36.094879,-91.913625,9yqtk6
AR,05067,Jackson County,35.596467,-91.223205,9yr4s0
AR,05069,Jefferson County,34.277239,-91.929673,9yndup
AR,05071,Johnson County,35.573359,-93.466322,9ymd35
AR,05073,Lafayette County,33.240629,-93.611514,9vvmjg
AR,05075,Lawrence County,36.041098,-91.101153,9yrjnc
AR,05077,Lee County,34.779505,-90.779717,9ypmy7
AR,05079,Lincoln County,33.957675,-91.727626,9ync0t
AR,05081,Little River County,33.699497,-94.229774,9vuzxw
AR,05083,Logan County,35.218654,-93.72091,9ym277
AR,05085,Lonoke County,34.755114,-91.894132,9yntsy
AR,05087,Madison County,36.012545,-93.724053,9ymkg7
AR,05089,Marion County,36.266664,-92.678577,9yqn74
AR,05091,Miller County,33.305505,-93.901502,9vvjrp
AR,05093,Mississippi County,35.766944,-90.052207,9yrgqz
AR,05095,Monroe County,34.679512,-91.20331,9ypjk9
AR,05097,Montgomery County,34.545656,-93.664153,9yjks8
AR,05099,Nevada County,33.666699,-93.305072,9vvxsb
AR,05101,Newton County,35.910742,-93.215898,9ymsqc
AR,05103,Ouachita County,33.591168,-92.878413,9vvzne
AR,05105,Perry County,34.946363,-92.926877,9yjyv3
AR,05107,Phillips County,34.423687,-90.855593,9yp7ud
AR,05109,Pike County,34.158191,-93.658659,9yj6kd
AR,05111,Poinsett County,35.56887,-90.681104,9yrd2e
AR,05113,Polk County,34.490915,-94.230884,9yhupw
AR,05115,Pope County,35.456557,-93.026818,9ymcen
AR,05117,Prairie County,34.831116,-91.55362,9ynyhs
AR,05119,Pulaski County,34.770311,-92.312996,9ynmg3
AR,05121,Randolph County,36.341298,-91.028441,9yrq8x
AR,05123,St. Francis County,35.022838,-90.751505,9yprnz
AR,05125,Saline County,34.648525,-92.674463,9ynj55
AR,05127,Scott County,34.858869,-94.063641,9yjn79
AR,05129,Searcy County,35.896387,-92.695888,9yqh4w
AR,05131,Sebastian County,35.196981,-94.274989,9ykbnx
AR,05133,Sevier County,33.994877,-94.243279,9yhcrk
AR,05135,Sharp County,36.173399,-91.471069,9yqvy9
AR,05137,Stone County,35.857001,-92.140482,9yq7zr
AR,05139,Union County,33.168219,-92.598145,9vyhsy
AR,05141,Van Buren County,35.582953,-92.515976,9yq4qt
AR,05143,Washington County,35.978001,-94.217269,9ymh8j
AR,05145,White County,35.255118,-91.753034,9yqb81
AR,05147,Woodruff County,35.192777,-91.244535,9yr05w
AR,05149,Yell County,34.997713,-93.408303,9yjx47
CA,06001,Alameda County,37.647139,-121.912488,9q9q1v
CA,06003,Alpine County,38.621783,-119.798352,9qfg9y
CA,06005,Amador County,38.44355,-120.653856,9qf4wq
CA,06007,Butte County,39.665959,-121.601919,9r198u
CA,06009,Calaveras County,38.1839,-120.561441,9qf30x
CA,06011,Colusa County,39.177739,-122.237563,9qcnfk
CA,06013,Contra Costa County,37.919479,-121.951543,9q9r8z
CA,06015,Del Norte County,41.763958,-124.003614,9prvd4
CA,06017,El Dorado County,38.785612,-120.534225,9qfk9h
CA,06019,Fresno County,36.761006,-119.655019,9qdcjh
CA,06021,Glenn County,39.602546,-122.4017,9r0cq9
CA,06023,Humboldt County,40.706655,-123.926176,9ppzef
CA,06025,Imperial County,33.040814,-115.3554,9mvgzn
CA,06027,Inyo County,36.561977,-117.403927,9qkxbr
CA,06029,Kern County,35.346629,-118.729506,9q7944
CA,06031,Kings County,36.072478,-119.81553,9q6v1w
CA,06033,Lake County,39.094802,-122.746757,9qbwqu
CA,06035,Lassen County,40.721086,-120.629952,9r4pwv
CA,06037,Los Angeles County,34.196398,-118.261862,9q5fsc
CA,06039,Madera County,37.209821,-119.749802,9qdgej
CA,06041,Marin County,38.051817,-122.745974,9qb8qz
CA,06043,Mariposa County,37.57003,-119.912861,9qdtxr
CA,06045,Mendocino County,39.432388,-123.442881,9r00qf
CA,06047,Merced County,37.194806,-120.722802,9qd5sg
CA,06049,Modoc County,41.592918,-120.71837,9r6hsg
CA,06051,Mono County,37.915836,-118.875167,9qerwy
CA,06053,Monterey County,36.240107,-121.315572,9q3wpm
CA,06055,Napa County,38.5071,-122.325904,9qc506
CA,06057,Nevada County,39.297508,-120.771343,9qfpec
CA,06059,Orange County,33.675687,-117.777207,9mupxf
CA,06061,Placer County,39.062032,-120.722718,9qfnhz
CA,06063,Plumas County,39.992295,-120.824371,9r45d8
CA,06065,Riverside County,33.729828,-116.002239,9mvxbk
CA,06067,Sacramento County,38.450016,-121.340441,9qcdwz
CA,06069,San Benito County,36.611651,-121.085811,9q9bk8
CA,06071,San Bernardino County,34.85722,-116.181197,9qjqk1
CA,06073,San Diego County,33.023604,-116.776117,9mugye
CA,06075,San Francisco County,37.727239,-123.032229,9q8w8k
CA,06077,San Joaquin County,37.934982,-121.272244,9q9zb3
CA,06079,San Luis Obispo County,35.385224,-120.447544,9q6371
CA,06081,San Mateo County,37.414672,-122.371546,9q8uz7
CA,06083,Santa Barbara County,34.537057,-120.039973,9q4skr
CA,06085,Santa Clara County,37.220695,-121.69051,9q97wz
CA,06087,Santa Cruz County,37.012488,-122.007205,9q94x9
CA,06089,Shasta County,40.760514,-122.043556,9r1pyu
CA,06091,Sierra County,39.576925,-120.521993,9r431k
CA,06093,Siskiyou County,41.587986,-122.533287,9r2ued
CA,06095,Solano County,38.267226,-121.939594,9qc39n
CA,06097,Sonoma County,38.525182,-122.92611,9qbe4t
CA,06099,Stanislaus County,37.562316,-121.002831,9q9vww
CA,06101,Sutter County,39.03619,-121.70394,9qcqnd
CA,06103,Tehama County,40.126157,-122.232274,9r1h68
CA,06105,Trinity County,40.647803,-123.114476,9r0rnr
CA,06107,Tulare County,36.228834,-118.781055,9q7w15
CA,06109,Tuolumne County,38.021434,-119.964733,9qf8q1
CA,06111,Ventura County,34.358741,-119.133143,9q573n
CA,06113,Yolo County,38.679596,-121.902441,9qck41
CA,06115,Yuba County,39.27013,-121.344259,9qcxqs
CO,08001,Adams County,39.874325,-104.331872,9xjfcf
CO,08003,Alamosa County,37.568442,-105.788041,9wsv8x
CO,08005,Arapahoe County,39.644554,-104.331706,9xjc9c
CO,08007,Archuleta County,37.202395,-107.050863,9wegeu
CO,08009,Baca County,37.30978,-102.543741,9wxh68
CO,08011,Bent County,37.931891,-103.077584,9wwxy3
CO,08013,Boulder County,40.09497,-105.397691,9xjh1e
CO,08014,Broomfield County,39.953593,-105.050787,9xj739
CO,08015,Chaffee County,38.738223,-106.316683,9wukks
CO,08017,Cheyenne County,38.835646,-102.601791,9wzhcj
CO,08019,Clear Creek County,39.669732,-105.69257,9xhcdv
CO,08021,Conejos County,37.213406,-106.176447,9ws7xy
CO,08023,Costilla County,37.277547,-105.42894,9wth0f
CO,08025,Crowley County,38.30618,-103.772736,9wy1yt
CO,08027,Custer County,38.101996,-105.373512,9wv0f0
CO,08029,Delta County,38.861595,-107.864892,9wgm16
CO,08031,Denver County,39.76185,-104.881105,9xj6jq
CO,08033,Dolores County,37.711723,-108.524116,9wdyd3
CO,08035,Douglas County,39.325414,-104.925987,9wvrsq
CO,08037,Eagle County,39.626992,-106.695169,9xh1kj
CO,08039,Elbert County,39.315157,-104.114076,9wvzwv
CO,08041,El Paso County,38.827383,-104.527472,9wvsvk
CO,08043,Fremont County,38.45517,-105.424958,9wv4bb
CO,08045,Garfield County,39.599352,-107.90978,9x5322
CO,08047,Gilpin County,39.861156,-105.528878,9xhfy8
CO,08049,Grand County,40.113065,-106.110837,9xhs1q
CO,08051,Gunnison County,38.670499,-107.05688,9wgggz
CO,08053,Hinsdale County,37.821165,-107.338261,9wexjm
CO,08055,Huerfano County,37.687815,-104.959928,9wtq7s
CO,08057,Jackson County,40.663432,-106.329248,9xhrk6
CO,08059,Jefferson County,39.579511,-105.245462,9xj1jj
CO,08061,Kiowa County,38.387663,-102.756849,9wyfms
CO,08063,Kit Carson County,39.30534,-102.603023,9wzp95
CO,08065,Lake County,39.205341,-106.350079,9wur5c
CO,08067,La Plata County,37.287367,-107.839718,9wek45
CO,08069,Larimer County,40.658093,-105.486764,9xhzr9
CO,08071,Las Animas County,37.318831,-104.04411,9wwh23
CO,08073,Lincoln County,38.99374,-103.507555,9wymud
CO,08075,Logan County,40.728091,-103.090464,9xnxwn
CO,08077,Mesa County,39.019524,-108.460571,9wfvgz
CO,08079,Mineral County,37.549067,-107.003236,9wevt5
CO,08081,Moffat County,40.610864,-108.217154,9x5p12
CO,08083,Montezuma County,37.338025,-108.595786,9wdu2v
CO,08085,Montrose County,38.407507,-108.266282,9wg42r
CO,08087,Morgan County,40.263159,-103.81221,9xnjj9
CO,08089,Otero County,37.88417,-103.72126,9wwpxb
CO,08091,Ouray County,38.154731,-107.78848,9wg351
CO,08093,Park County,39.118914,-105.717648,9wuyd3
CO,08095,Phillips County,40.594712,-102.345105,9xpnzn
CO,08097,Pitkin County,39.217538,-106.916159,9wgzp5
CO,08099,Prowers County,37.958181,-102.392161,9wxpyn
CO,08101,Pueblo County,38.170658,-104.489892,9wv9nk
CO,08103,Rio Blanco County,39.972622,-108.200716,9x553u
CO,08105,Rio Grande County,37.485853,-106.453128,9wsm38
CO,08107,Routt County,40.483664,-106.987702,9x5ym3
CO,08109,Saguache County,38.031651,-106.234666,9wu2qe
CO,08111,San Juan County,37.781049,-107.670257,9weqvv
CO,08113,San Miguel County,38.009319,-108.427263,9wfbhx
CO,08115,Sedgwick County,40.871568,-102.355358,9xr0wb
CO,08117,Summit County,39.621023,-106.137555,9xh92u
CO,08119,Teller County,38.869976,-105.187365,9wvjnk
CO,08121,Washington County,39.96579,-103.209744,9xne77
CO,08123,Weld County,40.555961,-104.383666,9xjy8w
CO,08125,Yuma County,40.00077,-102.421649,9xp5t3
CT,09001,Fairfield County,41.227413,-73.367061,dr7fd3
CT,09003,Hartford County,41.806053,-72.732916,drkmbf
CT,09005,Litchfield County,41.791883,-73.235404,dr7vtr
CT,09007,Middlesex County,41.433003,-72.52278,drk7tw
CT,09009,New Haven County,41.349718,-72.900203,drk5jp
CT,09011,New London County,41.472652,-72.108634,drkezj
CT,09013,Tolland County,41.858081,-72.340978,drkw1u
CT,09015,Windham County,41.824999,-71.990702,drkvcy
DE,10001,Kent County,39.097088,-75.502982,dqfq3v
DE,10003,New Castle County,39.575915,-75.644132,dr41ns
DE,10005,Sussex County,38.673227,-75.337024,dqfkj8
DC,11001,District of Columbia,38.904247,-77.016517,dqcjr6
FL,12001,Alachua County,29.67574,-82.357221,djm2vf
FL,12003,Baker County,30.324442,-82.302284,djmkx0
FL,12005,Bay County,30.238218,-85.63168,dj7h52
FL,12007,Bradford County,29.952386,-82.166679,djmd6k
FL,12009,Brevard County,28.298311,-80.700333,djn8gx
FL,12011,Broward County,26.193535,-80.476683,dhwv08
FL,12013,Calhoun County,30.388801,-85.197915,dj7kvk
FL,12015,Charlotte County,26.868974,-81.941278,dhv8z7
FL,12017,Citrus County,28.84364,-82.52481,djjk44
FL,12019,Clay County,29.986584,-81.865036,djmf94
FL,12021,Collier County,26.118786,-81.400955,dhwhed
FL,12023,Columbia County,30.221651,-82.623371,djm5zv
FL,12027,DeSoto County,27.190581,-81.806253,dhvfdm
FL,12029,Dixie County,29.580899,-83.195666,djkb6c
FL,12031,Duval County,30.335245,-81.648113,djmuw4
FL,12033,Escambia County,30.611638,-87.3389,dj3yhs
FL,12035,Flagler County,29.474891,-81.286253,djnpwm
FL,12037,Franklin County,29.810176,-84.799174,dj79w6
FL,12039,Gadsden County,30.578687,-84.612607,dj7vfw
FL,12041,Gilchrist County,29.723456,-82.795801,djm15f
FL,12043,Glades County,26.95481,-81.19082,dhy326
FL,12045,Gulf County,29.907257,-85.256537,dj765u
FL,12047,Hamilton County,30.491187,-82.951071,djmj2q
FL,12049,Hardee County,27.492846,-81.82158,dhvu6h
FL,12051,Hendry County,26.539967,-81.152114,dhwqcr
FL,12053,Hernando County,28.573043,-82.466227,djj6e3
FL,12055,Highlands County,27.34108,-81.342353,dhy5t1
FL,12057,Hillsborough County,27.906607,-82.349719,dhvqy0
FL,12059,Holmes County,30.862007,-85.815939,dj6zx4
FL,12061,Indian River County,27.700528,-80.574789,dhytw6
FL,12063,Jackson County,30.789249,-85.208814,dj7rjj
FL,12065,Jefferson County,30.424558,-83.890859,djkm54
FL,12067,Lafayette County,29.990066,-83.17851,djkfe5
FL,12069,Lake County,28.764113,-81.712282,djjgss
FL,12071,Lee County,26.559035,-81.891994,dhtz0d
FL,12073,Leon County,30.45931,-84.2778,djkj60
FL,12075,Levy County,29.284457,-82.783462,djjns5
FL,12077,Liberty County,30.259849,-84.86858,dj7shu
FL,12079,Madison County,30.447233,-83.470416,djkthw
FL,12081,Manatee County,27.481682,-82.368767,dhvkmd
FL,12083,Marion County,29.202805,-82.0431,djjwjh
FL,12085,Martin County,27.083604,-80.398201,dhyf46
FL,12086,Miami-Dade County,25.61058,-80.497099,dhwc8n
FL,12087,Monroe County,24.768883,-80.95327,dhqkvv
FL,12089,Nassau County,30.605963,-81.765087,djmy57
FL,12091,Okaloosa County,30.665851,-86.594187,dj6qmw
FL,12093,Okeechobee County,27.385592,-80.887388,dhy7z3
FL,12095,Orange County,28.514391,-81.323284,djn4jq
FL,12097,Osceola County,28.059027,-81.139312,dhyr9e
FL,12099,Palm Beach County,26.649126,-80.448354,dhwz97
FL,12101,Pasco County,28.307711,-82.464832,djj353
FL,12103,Pinellas County,27.903108,-82.739519,dhvntp
FL,12105,Polk County,27.953649,-81.693534,dhvzj0
FL,12107,Putnam County,29.593896,-81.732039,djmbk5
FL,12109,St. Johns County,29.890487,-81.40004,djq459
FL,12111,St. Lucie County,27.379814,-80.443536,dhygc2
FL,12113,Santa Rosa County,30.701269,-87.01289,dj6neu
FL,12115,Sarasota County,27.184386,-82.365835,dhv6ts
FL,12117,Seminole County,28.690092,-81.131989,djn71y
FL,12119,Sumter County,28.714101,-82.074347,djjek7
FL,12121,Suwannee County,30.189244,-82.992754,djkgxr
FL,12123,Taylor County,30.009908,-83.609483,djkd9r
FL,12125,Union County,30.05428,-82.366918,djm6vx
FL,12127,Volusia County,29.057769,-81.161792,djnm31
FL,12129,Wakulla County,30.139432,-84.374846,djk52n
FL,12131,Walton County,30.631211,-86.176614,dj6wr0
FL,12133,Washington County,30.602217,-85.662797,dj7n4d
GA,13001,Appling County,31.739712,-82.290103,djtkx6
GA,13003,Atkinson County,31.296806,-82.878151,djt441
GA,13005,Bacon County,31.55021,-82.451433,djt77z
GA,13007,Baker County,31.31958,-84.454881,djefnj
GA,13009,Baldwin County,33.05949,-83.255457,djuu16
GA,13011,Banks County,34.351922,-83.498441,dnhe7v
GA,13013,Barrow County,33.992009,-83.712303,dnh3rh
GA,13015,Bartow County,34.240917,-84.838188,dn5dv3
GA,13017,Ben Hill County,31.740772,-83.147197,djsuef
GA,13019,Berrien County,31.288652,-83.22787,djscfp
GA,13021,Bibb County,32.808845,-83.694194,dju6xk
GA,13023,Bleckley County,32.435403,-83.331717,dju8x8
GA,13025,Brantley County,31.197334,-81.982978,djt9qr
GA,13027,Brooks County,30.822934,-83.581905,djkx65
GA,13029,Bryan County,32.017969,-81.438543,djwn4u
GA,13031,Bulloch County,32.391711,-81.744021,djvb7b
GA,13033,Burke County,33.060181,-82.000164,djvsn4
GA,13035,Butts County,33.290355,-83.958221,djum3k
GA,13037,Calhoun County,31.521279,-84.62629,djeg66
GA,13039,Camden County,30.913358,-81.642019,djmzy5
GA,13043,Candler County,32.40395,-82.071266,djv8k6
GA,13045,Carroll County,33.582237,-85.080527,djgrpc
GA,13047,Catoosa County,34.900218,-85.139386,dn5qw9
GA,13049,Charlton County,30.779904,-82.139644,djmx4g
GA,13051,Chatham County,31.980404,-81.085184,djwmfv
GA,13053,Chattahoochee County,32.347445,-84.788021,djg8n8
GA,13055,Chattooga County,34.474178,-85.345289,dn5k1g
GA,13057,Cherokee County,34.244317,-84.475057,dn5fv9
GA,13059,Clarke County,33.952185,-83.367152,dnh9nu
GA,13061,Clay County,31.619831,-84.992583,djeecu
GA,13063,Clayton County,33.542686,-84.355573,djunb6
GA,13065,Clinch County,30.917653,-82.702614,djmpyh
GA,13067,Cobb County,33.93993,-84.574112,dn5c56
GA,13069,Coffee County,31.549245,-82.84494,djt56z
GA,13071,Colquitt County,31.189707,-83.769773,djs3mv
GA,13073,Columbia County,33.547631,-82.252296,djvwb7
GA,13075,Cook County,31.152516,-83.429445,djs9jx
GA,13077,Coweta County,33.352897,-84.762138,djgtxp
GA,13079,Crawford County,32.709428,-83.979187,dju614
GA,13081,Crisp County,31.915148,-83.753531,djsmw1
GA,13083,Dade County,34.852424,-85.506201,dn5nq2
GA,13085,Dawson County,34.442608,-84.173261,dnh5uw
GA,13087,Decatur County,30.880643,-84.58389,dj7zej
GA,13089,DeKalb County,33.770661,-84.226343,dnh057
GA,13091,Dodge County,32.164369,-83.167866,djsygr
GA,13093,Dooly County,32.151995,-83.807167,djsquv
GA,13095,Dougherty County,31.532588,-84.20904,djs57u
GA,13097,Douglas County,33.701242,-84.767314,djgxxp
GA,13099,Early County,31.324191,-84.906723,djed5y
GA,13101,Echols County,30.714008,-82.897376,djmn9x
GA,13103,Effingham County,32.36168,-81.343372,djy0hg
GA,13105,Elbert County,34.116413,-82.841909,dnj44f
GA,13107,Emanuel County,32.5911,-82.299763,djv3rj
GA,13109,Evans County,32.153083,-81.890153,djtybt
GA,13111,Fannin County,34.866543,-84.317331,dnhn37
GA,13113,Fayette County,33.412717,-84.493941,djgyj6
GA,13115,Floyd County,34.263692,-85.213685,dn56uv
GA,13117,Forsyth County,34.225143,-84.127408,dnh4tw
GA,13119,Franklin County,34.375266,-83.227532,dnhgd1
GA,13121,Fulton County,33.790034,-84.468182,dn5bjz
GA,13123,Gilmer County,34.690506,-84.454624,dn5vq5
GA,13125,Glascock County,33.227491,-82.606913,djvm00
GA,13127,Glynn County,31.21271,-81.49645,djw19d
GA,13129,Gordon County,34.509667,-84.873862,dn5skd
GA,13131,Grady County,30.875908,-84.24508,djkpdu
GA,13133,Greene County,33.57674,-83.166613,djuz52
GA,13135,Gwinnett County,33.959146,-84.023087,dnh30n
GA,13137,Habersham County,34.634392,-83.525875,dnht52
GA,13139,Hall County,34.317569,-83.8185,dnh7hx
GA,13141,Hancock County,33.26922,-83.000465,djuvr2
GA,13143,Haralson County,33.795165,-85.220063,dn52kb
GA,13145,Harris County,32.731549,-84.912432,djgd5y
GA,13147,Hart County,34.348733,-82.96329,dnj52h
GA,13149,Heard County,33.291347,-85.137886,djgmqs
GA,13151,Henry County,33.452947,-84.154021,djunm1
GA,13153,Houston County,32.458287,-83.662522,dju88h
GA,13155,Irwin County,31.604306,-83.277037,djsgbc
GA,13157,Jackson County,34.130905,-83.562557,dnhd4m
GA,13159,Jasper County,33.316981,-83.689151,djumx9
GA,13161,Jeff Davis County,31.811615,-82.636825,djthzx
GA,13163,Jefferson County,33.058176,-82.420004,djvkh6
GA,13165,Jenkins County,32.794563,-81.971524,djvdwd
GA,13167,Johnson County,32.694584,-82.66397,djv1yz
