I,ID,STAT,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE,INTRPT,DGENP,DGENQ,DGENF
2503,'1',1,2,2,0.000,0.000,1646.515,0.000,0.000,-178.564,1,1,0,0.000,0.000,0
# 2600,'1',1,2,2,0.000,0.000,-1591.978,0.000,0.000,0.000,1,1,0,0.000,0.000,0
2602,'1',1,2,2,0.000,0.000,87.531,0.000,0.000,-11.190,1,1,0,0.000,0.000,0
# 2604,'1',1,2,2,0.000,0.000,1791.945,0.000,0.000,0.000,1,1,0,0.000,0.000,0
2608,'1',1,2,2,0.000,0.000,88.030,0.000,0.000,-11.318,1,1,0,0.000,0.000,0
2609,'1',1,2,2,0.000,0.000,120.790,0.000,0.000,-24.191,1,1,0,0.000,0.000,0
2610,'1',1,2,2,0.000,0.000,88.994,0.000,0.000,-11.567,1,1,0,0.000,0.000,0
2611,'1',1,2,2,0.000,0.000,88.030,0.000,0.000,-11.318,1,1,0,0.000,0.000,0
2612,'1',1,2,2,0.000,0.000,106.667,0.000,0.000,-21.743,1,1,0,0.000,0.000,0
2613,'1',1,2,2,0.000,0.000,287.725,0.000,0.000,-58.812,1,1,0,0.000,0.000,0
2614,'1',1,2,2,0.000,0.000,123.152,0.000,0.000,-24.956,1,1,0,0.000,0.000,0
2615,'1',1,2,2,0.000,0.000,718.654,0.000,0.000,-117.014,1,1,0,0.000,0.000,0
2616,'1',1,2,2,0.000,0.000,104.990,0.000,0.000,-21.629,1,1,0,0.000,0.000,0
2617,'1',1,2,2,0.000,0.000,108.473,0.000,0.000,-22.485,1,1,0,0.000,0.000,0
2618,'1',1,2,2,0.000,0.000,784.705,0.000,0.000,5.422,1,1,0,0.000,0.000,0
# 2619,'1',1,2,2,0.000,0.000,-2466.528,0.000,0.000,0.000,1,1,0,0.000,0.000,0
2620,'1',1,2,2,0.000,0.000,181.756,0.000,0.000,-15.454,1,1,0,0.000,0.000,0
2621,'1',1,2,2,0.000,0.000,209.415,0.000,0.000,55.132,1,1,0,0.000,0.000,0
3101,'1',1,2,2,0.000,0.000,313.580,0.000,0.000,-49.549,1,1,0,0.000,0.000,0
3102,'1',1,2,2,0.000,0.000,145.724,0.000,0.000,-23.131,1,1,0,0.000,0.000,0
3103,'1',1,2,2,0.000,0.000,380.419,0.000,0.000,-54.591,1,1,0,0.000,0.000,0
3104,'1',1,2,2,0.000,0.000,283.512,0.000,0.000,-37.304,1,1,0,0.000,0.000,0
3105,'1',1,2,2,0.000,0.000,215.372,0.000,0.000,-44.182,1,1,0,0.000,0.000,0
3201,'1',1,2,2,0.000,0.000,417.176,0.000,0.000,-88.465,1,1,0,0.000,0.000,0
3202,'1',1,2,2,0.000,0.000,528.943,0.000,0.000,-75.520,1,1,0,0.000,0.000,0
3203,'1',1,2,2,0.000,0.000,592.543,0.000,0.000,-143.183,1,1,0,0.000,0.000,0
3204,'1',1,2,2,0.000,0.000,595.949,0.000,0.000,-84.091,1,1,0,0.000,0.000,0
3205,'1',1,2,2,0.000,0.000,492.201,0.000,0.000,-70.216,1,1,0,0.000,0.000,0
3302,'1',1,2,2,0.000,0.000,316.377,0.000,0.000,-80.011,1,1,0,0.000,0.000,0
3303,'1',1,2,2,0.000,0.000,562.870,0.000,0.000,-135.643,1,1,0,0.000,0.000,0
3304,'1',1,2,2,0.000,0.000,485.777,0.000,0.000,-112.963,1,1,0,0.000,0.000,0
3305,'1',1,2,2,0.000,0.000,389.689,0.000,0.000,-55.787,1,1,0,0.000,0.000,0
3401,'1',1,2,2,0.000,0.000,523.259,0.000,0.000,-132.931,1,1,0,0.000,0.000,0
3403,'1',1,2,2,0.000,0.000,464.372,0.000,0.000,-66.225,1,1,0,0.000,0.000,0
3404,'1',1,2,2,0.000,0.000,400.370,0.000,0.000,-57.509,1,1,0,0.000,0.000,0
3405,'1',1,2,2,0.000,0.000,423.026,0.000,0.000,-62.878,1,1,0,0.000,0.000,0
3501,'1',1,2,2,0.000,0.000,562.514,0.000,0.000,-80.114,1,1,0,0.000,0.000,0
3601,'1',1,2,2,0.000,0.000,92.975,0.000,0.000,-12.968,1,1,0,0.000,0.000,0
3701,'1',1,1,9,0.000,0.000,317.051,0.000,0.000,-15.847,1,1,0,0.000,0.000,0
3801,'1',1,2,2,0.000,0.000,164.062,0.000,0.000,-38.776,1,1,0,0.000,0.000,0
3804,'1',1,2,2,0.000,0.000,201.824,0.000,0.000,-50.058,1,1,0,0.000,0.000,0
3805,'1',1,2,2,0.000,0.000,434.251,0.000,0.000,-137.035,1,1,0,0.000,0.000,0
3806,'1',1,2,2,0.000,0.000,255.767,0.000,0.000,-35.854,1,1,0,0.000,0.000,0
3902,'1',1,2,2,0.000,0.000,137.692,0.000,0.000,-34.423,1,1,0,0.000,0.000,0
3903,'1',1,2,2,0.000,0.000,190.745,0.000,0.000,-26.909,1,1,0,0.000,0.000,0
3907,'1',1,2,2,0.000,0.000,430.380,0.000,0.000,-60.984,1,1,0,0.000,0.000,0
3908,'1',1,2,2,0.000,0.000,186.870,0.000,0.000,-23.908,1,1,0,0.000,0.000,0
3909,'1',1,2,2,0.000,0.000,159.388,0.000,0.000,-38.425,1,1,0,0.000,0.000,0
3910,'1',1,2,2,0.000,0.000,228.437,0.000,0.000,-34.143,1,1,0,0.000,0.000,0
3911,'1',1,2,2,0.000,0.000,204.367,0.000,0.000,-40.227,1,1,0,0.000,0.000,0
3912,'1',1,2,2,0.000,0.000,156.919,0.000,0.000,0.570,1,1,0,0.000,0.000,0
3913,'1',1,2,2,0.000,0.000,301.003,0.000,0.000,-40.262,1,1,0,0.000,0.000,0
3914,'1',1,2,2,0.000,0.000,207.245,0.000,0.000,-48.345,1,1,0,0.000,0.000,0
3915,'1',1,2,2,0.000,0.000,230.849,0.000,0.000,-48.836,1,1,0,0.000,0.000,0
3916,'1',1,2,2,0.000,0.000,139.766,0.000,0.000,0.000,1,1,0,0.000,0.000,0
3917,'1',1,2,2,0.000,0.000,214.158,0.000,0.000,-39.517,1,1,0,0.000,0.000,0
3918,'1',1,2,2,0.000,0.000,289.544,0.000,0.000,-68.957,1,1,0,0.000,0.000,0
3919,'1',1,2,2,0.000,0.000,171.670,0.000,0.000,-23.175,1,1,0,0.000,0.000,0
3920,'1',1,2,2,0.000,0.000,158.827,0.000,0.000,-22.302,1,1,0,0.000,0.000,0
3921,'1',1,2,2,0.000,0.000,126.917,0.000,0.000,-27.373,1,1,0,0.000,0.000,0
3922,'1',1,2,2,0.000,0.000,231.814,0.000,0.000,-29.670,1,1,0,0.000,0.000,0
3923,'1',1,2,2,0.000,0.000,353.452,0.000,0.000,-58.418,1,1,0,0.000,0.000,0
3924,'1',1,2,2,0.000,0.000,300.147,0.000,0.000,-42.707,1,1,0,0.000,0.000,0
3926,'1',1,2,2,0.000,0.000,244.214,0.000,0.000,-15.453,1,1,0,0.000,0.000,0
4002,'1',1,3,11,0.000,0.000,154.505,0.000,0.000,-18.455,1,1,0,0.000,0.000,0
4004,'1',1,3,11,0.000,0.000,248.180,0.000,0.000,-29.723,1,1,0,0.000,0.000,0
4005,'1',1,3,11,0.000,0.000,444.550,0.000,0.000,-134.961,1,1,0,0.000,0.000,0
4008,'1',1,3,11,0.000,0.000,265.108,0.000,0.000,-32.154,1,1,0,0.000,0.000,0
4009,'1',1,3,11,0.000,0.000,2045.132,0.000,0.000,-369.852,1,1,0,0.000,0.000,0
# 4010,'1',1,3,11,0.000,0.000,2904.493,0.000,0.000,0.000,1,1,0,0.000,0.000,0
4101,'1',1,3,13,0.000,0.000,882.117,0.000,0.000,-102.001,1,1,0,0.000,0.000,0
4102,'1',1,3,13,0.000,0.000,438.548,0.000,0.000,-57.162,1,1,0,0.000,0.000,0
4103,'1',1,3,13,0.000,0.000,10.805,0.000,0.000,-1.303,1,1,0,0.000,0.000,0
4104,'1',1,3,13,0.000,0.000,2424.986,0.000,0.000,-303.469,1,1,0,0.000,0.000,0
4201,'1',1,3,13,0.000,0.000,5145.231,0.000,0.000,-367.517,1,1,0,0.000,0.000,0
4202,'1',1,3,13,0.000,0.000,4300.226,0.000,0.000,-529.215,1,1,0,0.000,0.000,0
4203,'1',1,3,13,0.000,0.000,4308.429,0.000,0.000,-552.906,1,1,0,0.000,0.000,0
4204,'1',1,3,13,0.000,0.000,949.629,0.000,0.000,-115.952,1,1,0,0.000,0.000,0
5001,'1',1,3,4,0.000,0.000,7213.383,0.000,0.000,-1561.338,1,1,0,0.000,0.000,0
5002,'1',1,3,1,0.000,0.000,8534.582,0.000,0.000,-1055.106,1,1,0,0.000,0.000,0
5003,'1',1,3,1,0.000,0.000,589.263,0.000,0.000,-73.624,1,1,0,0.000,0.000,0
6102,'1',1,3,6,0.000,0.000,1022.470,0.000,0.000,325.457,1,1,0,0.000,0.000,0
6103,'1',1,3,6,0.000,0.000,386.454,0.000,0.000,-49.703,1,1,0,0.000,0.000,0
6104,'1',1,3,6,0.000,0.000,1683.648,0.000,0.000,-218.144,1,1,0,0.000,0.000,0
6201,'1',1,3,8,0.000,0.000,194.170,0.000,0.000,-23.903,1,1,0,0.000,0.000,0
6202,'1',1,3,8,0.000,0.000,81.319,0.000,0.000,-11.365,1,1,0,0.000,0.000,0
6203,'1',1,3,8,0.000,0.000,609.243,0.000,0.000,-143.626,1,1,0,0.000,0.000,0
6204,'1',1,3,8,0.000,0.000,667.550,0.000,0.000,-142.578,1,1,0,0.000,0.000,0
6205,'1',1,3,8,0.000,0.000,465.984,0.000,0.000,-78.317,1,1,0,0.000,0.000,0
6301,'1',1,3,14,0.000,0.000,508.649,0.000,0.000,-65.361,1,1,0,0.000,0.000,0
6302,'1',1,3,14,0.000,0.000,588.418,0.000,0.000,-76.334,1,1,0,0.000,0.000,0
6303,'1',1,3,14,0.000,0.000,724.856,0.000,0.000,-91.813,1,1,0,0.000,0.000,0
6305,'1',1,3,14,0.000,0.000,56.823,0.000,0.000,-17.579,1,1,0,0.000,0.000,0
6401,'1',1,1,9,0.000,0.000,1628.390,0.000,0.000,-206.824,1,1,0,0.000,0.000,0
6402,'1',1,1,9,0.000,0.000,270.855,0.000,0.000,-35.135,1,1,0,0.000,0.000,0
6403,'1',1,1,9,0.000,0.000,1.980,0.000,0.000,-0.221,1,1,0,0.000,0.000,0
6404,'1',1,1,9,0.000,0.000,27.498,0.000,0.000,-3.399,1,1,0,0.000,0.000,0
6501,'1',1,3,12,0.000,0.000,193.033,0.000,0.000,-62.491,1,1,0,0.000,0.000,0
6502,'1',1,3,12,0.000,0.000,1539.327,0.000,0.000,-271.901,1,1,0,0.000,0.000,0
6503,'1',1,3,12,0.000,0.000,414.228,0.000,0.000,-127.491,1,1,0,0.000,0.000,0
6504,'1',1,3,12,0.000,0.000,293.725,0.000,0.000,-37.889,1,1,0,0.000,0.000,0
6505,'1',1,3,12,0.000,0.000,6.555,0.000,0.000,-2.076,1,1,0,0.000,0.000,0
6507,'1',1,3,12,0.000,0.000,527.834,0.000,0.000,58.453,1,1,0,0.000,0.000,0
6508,'1',1,3,12,0.000,0.000,128.991,0.000,0.000,-41.365,1,1,0,0.000,0.000,0
6509,'1',1,3,12,0.000,0.000,8.495,0.000,0.000,-2.753,1,1,0,0.000,0.000,0
6510,'1',1,3,12,0.000,0.000,1971.920,0.000,0.000,111.890,1,1,0,0.000,0.000,0
7001,'1',1,3,5,0.000,0.000,6863.645,0.000,0.000,-742.359,1,1,0,0.000,0.000,0
7002,'1',1,3,5,0.000,0.000,2517.078,0.000,0.000,134.018,1,1,0,0.000,0.000,0
8003,'1',1,2,2,0.000,0.000,546.423,0.000,0.000,-66.307,1,1,0,0.000,0.000,0
8004,'1',1,2,2,0.000,0.000,3409.103,0.000,0.000,-444.699,1,1,0,0.000,0.000,0
8005,'1',1,2,2,0.000,0.000,1213.222,0.000,0.000,-161.487,1,1,0,0.000,0.000,0
