Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
6510,BENLOMND,230,,1,0.9636,44.28,1.1,0.9,1.1,0.9,41.439081,-112.006907
6533,EMERY,20,,2,1.0679,52.16,1.1,0.9,1.1,0.9,40.030278,-109.188333
7001,COLOEAST,345,,1,1.02,16.02,1.1,0.9,1.1,0.9,38.542595,-104.660626
7002,CRAIG,345,,1,1.015,18.67,1.1,0.9,1.1,0.9,40.521809,-107.506652
7031,COLOEAST,20,,2,1.025,17.41,1.1,0.9,1.1,0.9,38.542595,-104.660626
7032,CRAIG,20,,2,1.0135,19.52,1.1,0.9,1.1,0.9,40.521809,-107.506652
8001,OLINDA,500,,1,1.0439,13.33,1.1,0.9,1.1,0.9,40.382027,-122.384572
8002,TRACY,500,,1,1.0093,4.65,1.1,0.9,1.1,0.9,37.74752,-121.416448
8003,COTWDWAP,230,,1,1.075,12.92,1.1,0.9,1.1,0.9,40.397712,-122.265115
8004,RNCHSECO,230,,1,1,-10.03,1.1,0.9,1.1,0.9,38.344823,-121.123005
8005,TRACYPMP,230,,1,0.9801,-5.05,1.1,0.9,1.1,0.9,37.74752,-121.416448
8033,COTWDWAP,20,,2,1.0773,13.21,1.1,0.9,1.1,0.9,40.397712,-122.265115
8034,RNCHSECO,20,,2,1.0032,-9.06,1.1,0.9,1.1,0.9,38.344823,-121.123005
