F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
37,129,-0.00042,-0.0084,0,2400,2400,2400,0,0,1,-360,360
38,39,0.00132,0.0264,0,3070,3070,3070,0,0,1,-360,360
38,43,0.0005935,0.01187,0,3070,3070,3070,0,0,1,-360,360
39,41,0.00129,0.0258,0,2320,2320,2320,0,0,1,-360,360
40,41,0.000635,0.0127,0,2320,2320,2320,0,0,1,-360,360
41,42,0.0026995,0.05399,0,2320,2320,2320,0,0,1,-360,360
41,44,0.001975,0.0395,0,2320,2320,2320,0,0,1,-360,360
41,50,0.001443,0.02886,0,1500,1500,1500,0,0,1,-360,360
53,54,0.0009305,0.01861,0,2001,2001,2001,0,0,1,-360,360
53,55,0.000834,0.01668,0,2001,2001,2001,0,0,1,-360,360
57,220,0.004825,0.0965,0,2001,2001,2001,0,0,1,-360,360
57,225,0.001225,0.0245,0,2001,2001,2001,0,0,1,-360,360
58,60,0.0039525,0.07905,0,2001,2001,2001,0,0,1,-360,360
59,60,0.0039525,0.07905,0,2001,2001,2001,0,0,1,-360,360
61,64,0.001673,0.03346,0,2001,2001,2001,0,0,1,-360,360
61,65,0.0019,0.038,0,2001,2001,2001,0,0,1,-360,360
61,71,0.0023385,0.04677,0,2001,2001,2001,0,0,1,-360,360
61,72,0.001711,0.03422,0,2001,2001,2001,0,0,1,-360,360
62,68,0.0003615,0.00723,0,2001,2001,2001,0,0,1,-360,360
62,70,0.000268,0.00536,0,2001,2001,2001,0,0,1,-360,360
63,66,0.001711,0.03422,0,2001,2001,2001,0,0,1,-360,360
63,69,0.001537,0.03074,0,2001,2001,2001,0,0,1,-360,360
65,73,0.000558,0.01116,0,2001,2001,2001,0,0,1,-360,360
67,69,0.0005125,0.01025,0,2001,2001,2001,0,0,1,-360,360
82,83,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
83,84,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
83,96,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
84,92,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
84,99,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
85,86,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
89,90,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
89,91,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
89,152,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
89,153,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
90,93,0.000635,0.0127,0,2001,2001,2001,0,0,1,-360,360
91,97,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
93,143,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
93,144,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
95,131,0.0006485,0.01297,0,2450,2450,2450,0,0,1,-360,360
95,132,0.0004405,0.00881,0,2001,2001,2001,0,0,1,-360,360
96,98,0.000635,0.0127,0,1120,1120,1120,0,0,1,-360,360
97,147,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
101,102,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
101,104,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
101,105,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
101,117,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
103,104,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
104,146,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
105,136,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
108,143,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
110,154,0.001443,0.02886,0,70,70,70,0,0,1,-360,360
112,155,0.001443,0.02886,0,2001,2001,2001,0,0,1,-360,360
114,115,0.0009685,0.01937,0,2001,2001,2001,0,0,1,-360,360
114,116,0.0010435,0.02087,0,2001,2001,2001,0,0,1,-360,360
115,123,0.0008,0.016,0,2450,2450,2450,0,0,1,-360,360
115,130,0.0009925,0.01985,0,2450,2450,2450,0,0,1,-360,360
116,124,-0.0004675,-0.00935,0,2134,2134,2134,0,0,1,-360,360
116,126,-0.000472,-0.00944,0,2134,2134,2134,0,0,1,-360,360
116,128,-0.0004675,-0.00935,0,2134,2134,2134,0,0,1,-360,360
117,119,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
118,119,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
130,238,0.0007925,0.01585,0,1800,1800,1800,0,0,1,-360,360
132,133,0.0001795,0.00359,0,2450,2450,2450,0,0,1,-360,360
132,134,0.0005175,0.01035,0,2001,2001,2001,0,0,1,-360,360
134,135,0.000173,0.00346,0,3500,3500,3500,0,0,1,-360,360
135,159,0.000228,0.00456,0,1600,1600,1600,0,0,1,-360,360
136,137,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
136,240,0.004634,0.09268,0,2001,2001,2001,0,0,1,-360,360
137,149,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
138,148,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
139,140,0.008469,0.16938,0,838,838,838,0,0,1,-360,360
140,141,0.004634,0.09268,0,747,747,747,0,0,1,-360,360
140,145,0.0056905,0.11381,0,838,838,838,0,0,1,-360,360
140,150,0.003339,0.06678,0,752,752,752,0,0,1,-360,360
140,239,0.004634,0.09268,0,2001,2001,2001,0,0,1,-360,360
142,149,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
148,151,0.001443,0.02886,0,888,888,888,0,0,1,-360,360
152,241,0.004634,0.09268,0,2001,2001,2001,0,0,1,-360,360
159,172,0.000691,0.01382,0,3600,3600,3600,0,0,1,-360,360
159,176,0.000751,0.01502,0,3020,3020,3020,0,0,1,-360,360
159,179,0.0007065,0.01413,0,3020,3020,3020,0,0,1,-360,360
159,189,0.0001195,0.00239,0,2001,2001,2001,0,0,1,-360,360
159,237,0.0006465,0.01293,0,1600,1600,1600,0,0,1,-360,360
160,161,0.0011865,0.02373,0,3600,3600,3600,0,0,1,-360,360
160,173,0.000518,0.01036,0,3450,3450,3450,0,0,1,-360,360
161,198,0.0013445,0.02689,0,1732,1732,1732,0,0,1,-360,360
162,163,0.000706,0.01412,0,3450,3450,3450,0,0,1,-360,360
162,174,0.000633,0.01266,0,2001,2001,2001,0,0,1,-360,360
162,177,0.000633,0.01266,0,2001,2001,2001,0,0,1,-360,360
163,164,0.0002255,0.00451,0,2175,2175,2175,0,0,1,-360,360
163,181,0.001158,0.02316,0,2001,2001,2001,0,0,1,-360,360
163,187,0.00041,0.0082,0,2001,2001,2001,0,0,1,-360,360
163,204,0.001652,0.03304,0,2001,2001,2001,0,0,1,-360,360
164,165,1.5e-05,0.0003,0,3450,3450,3450,0,0,1,-360,360
166,217,0.003365,0.0673,0,2001,2001,2001,0,0,1,-360,360
167,168,6.55e-05,0.00131,0,3020,3020,3020,0,0,1,-360,360
167,183,0.001,0.02,0,2001,2001,2001,0,0,1,-360,360
174,175,8.25e-05,0.00165,0,2001,2001,2001,0,0,1,-360,360
177,178,8.25e-05,0.00165,0,2400,2400,2400,0,0,1,-360,360
180,181,0.0010345,0.02069,0,2001,2001,2001,0,0,1,-360,360
180,182,0.0037,0.074,0,0,0,0,0,0,1,-360,360
180,186,0.00041,0.0082,0,0,0,0,0,0,1,-360,360
183,195,0.004,0.08,0,800,800,800,0,0,1,-360,360
186,192,0.001,0.02,0,2350,2350,2350,0,0,1,-360,360
187,188,8.25e-05,0.00165,0,0,0,0,0,0,1,-360,360
192,193,0.00035,0.007,0,3000,3000,3000,0,0,1,-360,360
194,195,0.004,0.08,0,2001,2001,2001,0,0,1,-360,360
199,200,0.0001158,0.002316,0,2307,2307,2307,0,0,1,-360,360
199,210,0.00023,0.0046,0,1500,1500,1500,0,0,1,-360,360
199,219,0.003365,0.0673,0,1000,1000,1000,0,0,1,-360,360
200,222,0.003365,0.0673,0,1000,1000,1000,0,0,1,-360,360
201,206,0.004825,0.0965,0,2001,2001,2001,0,0,1,-360,360
201,214,0.004825,0.0965,0,1000,1000,1000,0,0,1,-360,360
203,204,0.0007025,0.01405,0,2001,2001,2001,0,0,1,-360,360
205,207,0.0037,0.074,0,2001,2001,2001,0,0,1,-360,360
205,212,0.004825,0.0965,0,2001,2001,2001,0,0,1,-360,360
205,213,0.004825,0.0965,0,2001,2001,2001,0,0,1,-360,360
211,233,0.00023,0.0046,0,1605,1605,1605,0,0,1,-360,360
214,231,0.0024125,0.04825,0,1300,1300,1300,0,0,1,-360,360
222,223,0.000166,0.00332,0,2001,2001,2001,0,0,1,-360,360
222,230,0.00113,0.0226,0,2001,2001,2001,0,0,1,-360,360
223,224,0.00301,0.0602,0,2001,2001,2001,0,0,1,-360,360
223,229,0.00086,0.0172,0,2001,2001,2001,0,0,1,-360,360
224,226,0.00439,0.0878,0,400,400,400,0,0,1,-360,360
2,3,0.00069,0.0138,0,0,0,0,0,0,1,-360,360
2,5,2.5e-05,0.0005,0,3000,3000,3000,0,0,1,-360,360
4,6,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
7,9,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
11,12,2.5e-05,0.0005,0,2000,2000,2000,0,0,1,-360,360
13,16,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
15,17,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
18,21,2.5e-05,0.0005,0,3066,3066,3066,0,0,1,-360,360
22,23,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
24,25,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
28,29,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
31,32,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
34,45,5e-06,0.0001,0,0,0,0,0,0,1,-360,360
41,47,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
42,48,5e-06,0.0001,0,0,0,0,0,0,1,-360,360
44,46,5e-06,0.0001,0,0,0,0,0,0,1,-360,360
51,52,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
57,77,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
58,74,0.0007455,0.01491,0,0,0,0,0,0,1,-360,360
61,79,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
63,75,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
64,76,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
65,78,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
84,87,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
86,88,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
92,94,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
97,100,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
102,106,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
103,107,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
108,109,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
110,111,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
112,113,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
112,218,0.001495,0.0299,0,0,0,0,0,0,1,-360,360
114,120,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
118,121,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
119,122,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
131,157,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
150,156,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
152,158,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
159,169,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
163,170,2.5e-05,0.0005,0,5000,5000,5000,0,0,1,-360,360
167,171,2.5e-05,0.0005,0,2000,2000,2000,0,0,1,-360,360
180,184,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
181,185,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
186,190,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
187,191,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
192,196,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
193,197,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
199,202,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
203,208,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
207,209,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
212,215,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
214,216,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
219,221,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
224,232,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
233,235,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
234,236,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
239,242,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
240,243,2.5e-05,0.0005,0,0,0,0,0,0,1,-360,360
