['GEN_BUS', 'PG', 'QG', 'QMAX', 'QMIN', 'VG', 'MBASE', 'GEN_STATUS', 'PMAX', 'PMIN', 'PC1', 'PC2', 'QC1MIN', 'QC1MAX', 'QC2MIN', 'QC2MAX', 'RAMP_AGC', 'RAMP_10', 'RAMP_30', 'RAMP_Q', 'APF', 'MU_PMAX0']
2030,87,0,0,-0,1,100,1,2140,0,0,0,0,0,0,0,0,5.11556,0,0,0,0
2130,407,0,0,-0,1,100,1,831,0,0,0,0,0,0,0,0,20,0,0,0,0
2130,496.014,0,0,-0,1,100,1,586,0,0,0,0,0,0,0,0,5.2992,0,0,0,0
2130,212.474,0,0,-0,1,100,1,396,60,0,0,0,0,0,0,0,1.98,0,0,0,0
2130,0,0,0,-0,1,100,1,115,0,0,0,0,0,0,0,0,500,0,0,0,0
2233,0,0,0,-0,1,100,1,1035,0,0,0,0,0,0,0,0,5.1846,0,0,0,0
2233,0,0,0,-0,1,100,0,1837,0,0,0,0,0,0,0,0,4.22,0,0,0,0
2233,0,0,0,-0,1,100,0,733,0,0,0,0,0,0,0,0,7.38,0,0,0,0
2332,0,0,0,-0,1,100,1,1333,0,0,0,0,0,0,0,0,500,0,0,0,0
2431,0,0,0,-0,1,100,1,1666,0,0,0,0,0,0,0,0,500,0,0,0,0
2434,0,0,0,-0,1,100,1,1489,0,0,0,0,0,0,0,0,500,0,0,0,0
2438,0,0,0,-0,1,100,1,2292,0,0,0,0,0,0,0,0,5.72444,0,0,0,0
2438,0,0,0,-0,1,100,1,5451,0,0,0,0,0,0,0,0,5.5776,0,0,0,0
2438,0,0,0,-0,1,100,1,1146,0,0,0,0,0,0,0,0,500,0,0,0,0
2438,0,0,0,-0,1,100,1,4110,0,0,0,0,0,0,0,0,7.654,0,0,0,0
2438,789.738,0,0,-0,1,100,1,1460,221,0,0,0,0,0,0,0,7.3,0,0,0,0
2438,2321.71,0,0,-0,1,100,1,3210,0,0,0,0,0,0,0,0,500,0,0,0,0
2438,0,0,0,-0,1,100,1,5817,0,0,0,0,0,0,0,0,7.1824,0,0,0,0
2439,0,0,0,-0,1,100,1,1666,0,0,0,0,0,0,0,0,500,0,0,0,0
2533,0,0,0,-0,1,100,1,1999,0,0,0,0,0,0,0,0,500,0,0,0,0
2630,155,0,0,-0,1,100,1,3947,0,0,0,0,0,0,0,0,8,0,0,0,0
2631,0,0,0,-0,1,100,1,520,0,0,0,0,0,0,0,0,500,0,0,0,0
2634,1618,0,0,-0,1,100,1,1618,323.6,0,0,0,0,0,0,0,20,0,0,0,0
2637,47.85,0,0,-0,1,100,1,87,13,0,0,0,0,0,0,0,0.435,0,0,0,0
2638,223.85,0,0,-0,1,100,1,407,61,0,0,0,0,0,0,0,2.035,0,0,0,0
3133,0,0,0,-0,1,100,0,62,0,0,0,0,0,0,0,0,5.33334,0,0,0,0
3135,145.01,0,0,-0,1,100,1,541,0,0,0,0,0,0,0,0,8.666,0,0,0,0
3135,0,0,0,-0,1,100,0,38,0,0,0,0,0,0,0,0,5,0,0,0,0
3234,0,0,0,-0,1,100,0,177,0,0,0,0,0,0,0,0,4.381,0,0,0,0
3234,0,0,0,-0,1,100,1,3853,0,0,0,0,0,0,0,0,10.8718,0,0,0,0
3234,0,0,0,-0,1,100,1,1037,0,0,0,0,0,0,0,0,14.2,0,0,0,0
3234,470.668,0,0,-0,1,100,1,1740,0,0,0,0,0,0,0,0,500,0,0,0,0
3333,246.087,0,0,-0,1,100,1,1012,0,0,0,0,0,0,0,0,6.34888,0,0,0,0
3333,0,0,0,-0,1,100,0,312,0,0,0,0,0,0,0,0,3.1332,0,0,0,0
3432,0,0,0,-0,1,100,0,3746,-2841,0,0,0,0,0,0,0,500,0,0,0,0
3433,0,0,0,-0,1,100,1,921,0,0,0,0,0,0,0,0,5.204,0,0,0,0
3433,0,0,0,-0,1,100,1,1426,0,0,0,0,0,0,0,0,500,0,0,0,0
3531,1424,0,0,-0,1,100,1,1424,0,0,0,0,0,0,0,0,500,0,0,0,0
3531,533,0,0,-0,1,100,1,533,0,0,0,0,0,0,0,0,500,0,0,0,0
3531,5.517,0,0,-0,1,100,1,24,3,0,0,0,0,0,0,0,0.12,0,0,0,0
3631,73.54,0,0,-0,1,100,1,96,0,0,0,0,0,0,0,0,500,0,0,0,0
3631,0,0,0,-0,1,100,0,210,0,0,0,0,0,0,0,0,9.3334,0,0,0,0
3731,186.493,0,0,-0,1,100,1,243,36,0,0,0,0,0,0,0,1.215,0,0,0,0
3831,1489,0,0,-0,1,100,1,2323,1000,0,0,0,0,0,0,0,3.77833,0,0,0,0
3835,0,0,0,-0,1,100,0,2025,0,0,0,0,0,0,0,0,6.163,0,0,0,0
3835,0,0,0,-0,1,100,1,1333,0,0,0,0,0,0,0,0,500,0,0,0,0
3836,0,0,0,-0,1,100,1,1497,0,0,0,0,0,0,0,0,26.2,0,0,0,0
3931,61.66,0,0,-0,1,100,1,567,0,0,0,0,0,0,0,0,500,0,0,0,0
3931,1719.14,0,0,-0,1,100,1,2875,436,0,0,0,0,0,0,0,14.375,0,0,0,0
3932,0,0,0,-0,1,100,1,1426,0,0,0,0,0,0,0,0,500,0,0,0,0
3933,245.62,0,0,-0,1,100,1,865,0,0,0,0,0,0,0,0,4.95378,0,0,0,0
3933,264.44,0,0,-0,1,100,1,345,0,0,0,0,0,0,0,0,500,0,0,0,0
3933,0,0,0,-0,1,100,1,1927,0,0,0,0,0,0,0,0,5.64756,0,0,0,0
3933,626.197,0,0,-0,1,100,1,2724,413,0,0,0,0,0,0,0,13.62,0,0,0,0
3933,200.131,0,0,-0,1,100,1,740,0,0,0,0,0,0,0,0,500,0,0,0,0
3933,0,0,0,-0,1,100,1,1333,0,0,0,0,0,0,0,0,500,0,0,0,0
4031,840.274,0,0,-0,1,100,1,2710,0,0,0,0,0,0,0,0,4.13333,0,0,0,0
4031,219.262,0,0,-0,1,100,1,952,144,0,0,0,0,0,0,0,4.76,0,0,0,0
4031,0,0,0,-0,1,100,1,427,0,0,0,0,0,0,0,0,500,0,0,0,0
4031,633.677,0,0,-0,1,100,1,635,0,0,0,0,0,0,0,0,500,0,0,0,0
4035,642,0,0,-0,1,100,1,642,128.4,0,0,0,0,0,0,0,20,0,0,0,0
4035,672.39,0,0,-0,1,100,1,1656,0,0,0,0,0,0,0,0,5,0,0,0,0
4035,1642.18,0,0,-0,1,100,1,3572,542,0,0,0,0,0,0,0,17.86,0,0,0,0
4035,723.426,0,0,-0,1,100,1,2578,0,0,0,0,0,0,0,0,500,0,0,0,0
4039,0,0,0,-0,1,100,0,150,0,0,0,0,0,0,0,0,5,0,0,0,0
4039,1651.92,0,0,-0,1,100,1,2839,431,0,0,0,0,0,0,0,14.195,0,0,0,0
4039,348.083,0,0,-0,1,100,1,1290,0,0,0,0,0,0,0,0,500,0,0,0,0
4131,544.976,0,0,-0,1,100,1,711,0,0,0,0,0,0,0,0,500,0,0,0,0
4131,3204.38,0,0,-0,1,100,1,12613,1915,0,0,0,0,0,0,0,63.065,0,0,0,0
4131,23.051,0,0,-0,1,100,1,790,0,0,0,0,0,0,0,0,500,0,0,0,0
4132,0,0,0,-0,1,100,0,2170,0,0,0,0,0,0,0,0,3.77778,0,0,0,0
4132,1273.76,0,0,-0,1,100,1,5539,841,0,0,0,0,0,0,0,27.695,0,0,0,0
4132,1200,0,0,-0,1,100,1,1200,800,0,0,0,0,0,0,0,2,0,0,0,0
4132,61.032,0,0,-0,1,100,1,300,0,0,0,0,0,0,0,0,500,0,0,0,0
4231,1460,0,0,-0,1,100,1,1460,292,0,0,0,0,0,0,0,20,0,0,0,0
4231,240,0,0,-0,1,100,1,970,0,0,0,0,0,0,0,0,4,0,0,0,0
4231,3112.41,0,0,-0,1,100,1,3517,534,0,0,0,0,0,0,0,17.585,0,0,0,0
4232,0,0,0,-0,1,100,0,872,0,0,0,0,0,0,0,0,4.66667,0,0,0,0
4232,192.337,0,0,-0,1,100,1,558,84,0,0,0,0,0,0,0,2.79,0,0,0,0
4232,197.925,0,0,-0,1,100,1,695,0,0,0,0,0,0,0,0,500,0,0,0,0
5031,1440,0,0,-0,1,100,1,2650,0,0,0,0,0,0,0,0,5.22222,0,0,0,0
5031,6651.29,0,0,-0,1,100,1,10747,1632,0,0,0,0,0,0,0,53.735,0,0,0,0
5032,8838.02,0,0,-0,1,100,1,13039,2607.8,0,0,0,0,0,0,0,20,0,0,0,0
5032,0,0,0,-0,1,100,0,9636,0,0,0,0,0,0,0,0,8,0,0,0,0
5032,58.039,0,0,-0,1,100,1,108,0,0,0,0,0,0,0,0,500,0,0,0,0
5032,0,0,0,-0,1,100,1,4410.2,0,0,0,0,0,0,0,0,500,0,0,0,0
5032,290.794,0,0,-0,1,100,1,541,0,0,0,0,0,0,0,0,500,0,0,0,0
6132,0,0,0,-0,1,100,0,122,0,0,0,0,0,0,0,0,500,0,0,0,0
6132,0,0,0,-0,1,100,0,1272,0,0,0,0,0,0,0,0,4.88889,0,0,0,0
6132,0,0,0,-0,1,100,1,2541,386,0,0,0,0,0,0,0,12.705,0,0,0,0
6132,0,0,0,-0,1,100,0,395,0,0,0,0,0,0,0,0,500,0,0,0,0
6132,54.994,0,0,-0,1,100,1,973,0,0,0,0,0,0,0,0,500,0,0,0,0
6231,975.009,0,0,-0,1,100,1,2488,497.6,0,0,0,0,0,0,0,20,0,0,0,0
6231,0,0,0,-0,1,100,0,250,0,0,0,0,0,0,0,0,5.33333,0,0,0,0
6235,0,0,0,-0,1,100,0,226,0,0,0,0,0,0,0,0,2.33333,0,0,0,0
6235,966.745,0,0,-0,1,100,1,2671,406,0,0,0,0,0,0,0,13.355,0,0,0,0
6235,0,0,0,-0,1,100,1,720,0,0,0,0,0,0,0,0,500,0,0,0,0
6333,3394,0,0,-0,1,100,1,4594,918.8,0,0,0,0,0,0,0,20,0,0,0,0
6333,1190.48,0,0,-0,1,100,1,1489,0,0,0,0,0,0,0,0,500,0,0,0,0
6335,2660,0,0,-0,1,100,1,2660,532,0,0,0,0,0,0,0,20,0,0,0,0
6335,0,0,0,-0,1,100,0,418,0,0,0,0,0,0,0,0,3.66667,0,0,0,0
6335,163.946,0,0,-0,1,100,1,303,45,0,0,0,0,0,0,0,1.515,0,0,0,0
6433,391,0,0,-0,1,100,1,391,78.2,0,0,0,0,0,0,0,20,0,0,0,0
6433,751,0,0,-0,1,100,1,751,0,0,0,0,0,0,0,0,20,0,0,0,0
6433,0,0,0,-0,1,100,0,1369,0,0,0,0,0,0,0,0,3.66204,0,0,0,0
6433,139.536,0,0,-0,1,100,1,152,0,0,0,0,0,0,0,0,500,0,0,0,0
6533,1452.91,0,0,-0,1,100,1,3276,655.2,0,0,0,0,0,0,0,20,0,0,0,0
6533,0,0,0,-0,1,100,0,3239,0,0,0,0,0,0,0,0,5.35556,0,0,0,0
6533,192.129,0,0,-0,1,100,1,275,42,0,0,0,0,0,0,0,1.375,0,0,0,0
6533,0,0,0,-0,1,100,1,1407,0,0,0,0,0,0,0,0,500,0,0,0,0
6533,205.517,0,0,-0,1,100,1,391,0,0,0,0,0,0,0,0,500,0,0,0,0
7031,2973.97,0,0,-0,1,100,1,3127,625.4,0,0,0,0,0,0,0,20,0,0,0,0
7031,0,0,0,-0,1,100,0,6346,0,0,0,0,0,0,0,0,4.352,0,0,0,0
7031,0,0,0,-0,1,100,0,509,-509,0,0,0,0,0,0,0,500,0,0,0,0
7031,1632.95,0,0,-0,1,100,1,3106,0,0,0,0,0,0,0,0,500,0,0,0,0
7032,1821,0,0,-0,1,100,1,1821,364.2,0,0,0,0,0,0,0,20,0,0,0,0
7032,0,0,0,-0,1,100,0,1483,0,0,0,0,0,0,0,0,3.75756,0,0,0,0
7032,363.394,0,0,-0,1,100,1,672,101,0,0,0,0,0,0,0,3.36,0,0,0,0
7032,0,0,0,-0,1,100,1,738,0,0,0,0,0,0,0,0,500,0,0,0,0
8033,562.269,0,0,-0,1,100,1,1394,211,0,0,0,0,0,0,0,6.97,0,0,0,0
8034,530.123,0,0,-0,1,100,1,3754,0,0,0,0,0,0,0,0,4.603,0,0,0,0
8034,193.373,0,0,-0,1,100,1,544,82,0,0,0,0,0,0,0,2.72,0,0,0,0
2619,100,0,0,-0,1,100,1,3000,0,0,0,0,0,0,0,0,500,0,0,0,0
2600,100,0,0,-0,1,100,1,3000,0,0,0,0,0,0,0,0,500,0,0,0,0
2202,0,0,0,-0,1,100,1,305,0,0,0,0,0,0,0,0,500,0,0,0,0
2203,0,0,0,-0,1,100,1,337,0,0,0,0,0,0,0,0,500,0,0,0,0
2503,0,0,0,-0,1,100,1,364,0,0,0,0,0,0,0,0,500,0,0,0,0
1401,0,0,0,-0,1,100,1,425,0,0,0,0,0,0,0,0,500,0,0,0,0
2502,0,0,0,-0,1,100,1,467,0,0,0,0,0,0,0,0,500,0,0,0,0
2403,0,0,0,-0,1,100,1,207,0,0,0,0,0,0,0,0,500,0,0,0,0
2407,0,0,0,-0,1,100,1,342,0,0,0,0,0,0,0,0,500,0,0,0,0
2400,0,0,0,-0,1,100,1,166,0,0,0,0,0,0,0,0,500,0,0,0,0
2409,0,0,0,-0,1,100,1,316,0,0,0,0,0,0,0,0,500,0,0,0,0
2402,0,0,0,-0,1,100,1,213,0,0,0,0,0,0,0,0,500,0,0,0,0
2613,0,0,0,-0,1,100,1,63,0,0,0,0,0,0,0,0,500,0,0,0,0
2408,0,0,0,-0,1,100,1,344,0,0,0,0,0,0,0,0,500,0,0,0,0
1402,0,0,0,-0,1,100,1,349,0,0,0,0,0,0,0,0,500,0,0,0,0
2615,0,0,0,-0,1,100,1,158,0,0,0,0,0,0,0,0,500,0,0,0,0
2406,0,0,0,-0,1,100,1,145,0,0,0,0,0,0,0,0,500,0,0,0,0
2618,0,0,0,-0,1,100,1,174,0,0,0,0,0,0,0,0,500,0,0,0,0
2405,0,0,0,-0,1,100,1,163,0,0,0,0,0,0,0,0,500,0,0,0,0
2401,0,0,0,-0,1,100,1,174,0,0,0,0,0,0,0,0,500,0,0,0,0
2410,0,0,0,-0,1,100,1,311,0,0,0,0,0,0,0,0,500,0,0,0,0
2411,0,0,0,-0,1,100,1,214,0,0,0,0,0,0,0,0,500,0,0,0,0
1101,0,0,0,-0,1,100,1,295,0,0,0,0,0,0,0,0,500,0,0,0,0
3805,0,0,0,-0,1,100,1,98,0,0,0,0,0,0,0,0,500,0,0,0,0
1301,0,0,0,-0,1,100,1,176,0,0,0,0,0,0,0,0,500,0,0,0,0
3403,0,0,0,-0,1,100,1,102,0,0,0,0,0,0,0,0,500,0,0,0,0
1303,0,0,0,-0,1,100,1,224,0,0,0,0,0,0,0,0,500,0,0,0,0
3404,0,0,0,-0,1,100,1,86,0,0,0,0,0,0,0,0,500,0,0,0,0
1003,0,0,0,-0,1,100,1,94,0,0,0,0,0,0,0,0,500,0,0,0,0
3918,0,0,0,-0,1,100,1,63,0,0,0,0,0,0,0,0,500,0,0,0,0
3401,0,0,0,-0,1,100,1,110,0,0,0,0,0,0,0,0,500,0,0,0,0
1004,0,0,0,-0,1,100,1,45,0,0,0,0,0,0,0,0,500,0,0,0,0
3303,0,0,0,-0,1,100,1,123,0,0,0,0,0,0,0,0,500,0,0,0,0
3304,0,0,0,-0,1,100,1,105,0,0,0,0,0,0,0,0,500,0,0,0,0
3302,0,0,0,-0,1,100,1,68,0,0,0,0,0,0,0,0,500,0,0,0,0
3305,0,0,0,-0,1,100,1,85,0,0,0,0,0,0,0,0,500,0,0,0,0
3203,0,0,0,-0,1,100,1,130,0,0,0,0,0,0,0,0,500,0,0,0,0
3103,0,0,0,-0,1,100,1,83,0,0,0,0,0,0,0,0,500,0,0,0,0
3104,0,0,0,-0,1,100,1,61,0,0,0,0,0,0,0,0,500,0,0,0,0
3923,0,0,0,-0,1,100,1,79,0,0,0,0,0,0,0,0,500,0,0,0,0
8005,0,0,0,-0,1,100,1,260,0,0,0,0,0,0,0,0,500,0,0,0,0
3101,0,0,0,-0,1,100,1,67,0,0,0,0,0,0,0,0,500,0,0,0,0
3202,0,0,0,-0,1,100,1,116,0,0,0,0,0,0,0,0,500,0,0,0,0
3205,0,0,0,-0,1,100,1,108,0,0,0,0,0,0,0,0,500,0,0,0,0
3201,0,0,0,-0,1,100,1,91,0,0,0,0,0,0,0,0,500,0,0,0,0
3907,0,0,0,-0,1,100,1,91,0,0,0,0,0,0,0,0,500,0,0,0,0
3204,0,0,0,-0,1,100,1,132,0,0,0,0,0,0,0,0,500,0,0,0,0
8004,0,0,0,-0,1,100,1,744,0,0,0,0,0,0,0,0,500,0,0,0,0
3924,0,0,0,-0,1,100,1,66,0,0,0,0,0,0,0,0,500,0,0,0,0
3501,0,0,0,-0,1,100,1,123,0,0,0,0,0,0,0,0,500,0,0,0,0
3913,0,0,0,-0,1,100,1,65,0,0,0,0,0,0,0,0,500,0,0,0,0
3405,0,0,0,-0,1,100,1,88,0,0,0,0,0,0,0,0,500,0,0,0,0
6401,0,0,0,-0,1,100,1,60,0,0,0,0,0,0,0,0,500,0,0,0,0
8003,0,0,0,-0,1,100,1,129,0,0,0,0,0,0,0,0,500,0,0,0,0
6510,0,0,0,-0,1,100,1,229,0,0,0,0,0,0,0,0,500,0,0,0,0
7001,0,0,0,-0,1,100,1,349,0,0,0,0,0,0,0,0,500,0,0,0,0

