parent,status,Pp,Qp,Pi,Qi,Pz,Qz
3902,1,0.000,0.000,137.692,0.000,0.000,-34.423
3903,1,0.000,0.000,190.745,0.000,0.000,-26.909
3907,1,0.000,0.000,430.380,0.000,0.000,-60.984
3908,1,0.000,0.000,186.870,0.000,0.000,-23.908
3909,1,0.000,0.000,159.388,0.000,0.000,-38.425
3910,1,0.000,0.000,228.437,0.000,0.000,-34.143
3911,1,0.000,0.000,204.367,0.000,0.000,-40.227
3912,1,0.000,0.000,156.919,0.000,0.000,0.570
3913,1,0.000,0.000,301.003,0.000,0.000,-40.262
3914,1,0.000,0.000,207.245,0.000,0.000,-48.345
3915,1,0.000,0.000,230.849,0.000,0.000,-48.836
3916,1,0.000,0.000,139.766,0.000,0.000,0.000
3917,1,0.000,0.000,214.158,0.000,0.000,-39.517
3918,1,0.000,0.000,289.544,0.000,0.000,-68.957
3919,1,0.000,0.000,171.670,0.000,0.000,-23.175
3920,1,0.000,0.000,158.827,0.000,0.000,-22.302
3921,1,0.000,0.000,126.917,0.000,0.000,-27.373
3922,1,0.000,0.000,231.814,0.000,0.000,-29.670
3923,1,0.000,0.000,353.452,0.000,0.000,-58.418
3924,1,0.000,0.000,300.147,0.000,0.000,-42.707
3926,1,0.000,0.000,244.214,0.000,0.000,-15.453
4002,1,0.000,0.000,154.505,0.000,0.000,-18.455
4004,1,0.000,0.000,248.180,0.000,0.000,-29.723
4005,1,0.000,0.000,444.550,0.000,0.000,-134.961
4008,1,0.000,0.000,265.108,0.000,0.000,-32.154
4009,1,0.000,0.000,2045.132,0.000,0.000,-369.852
4010,1,0.000,0.000,2904.493,0.000,0.000,0.000
4101,1,0.000,0.000,882.117,0.000,0.000,-102.001
4102,1,0.000,0.000,438.548,0.000,0.000,-57.162
4103,1,0.000,0.000,10.805,0.000,0.000,-1.303
4104,1,0.000,0.000,2424.986,0.000,0.000,-303.469
4201,1,0.000,0.000,5145.231,0.000,0.000,-367.517
4202,1,0.000,0.000,4300.226,0.000,0.000,-529.215
4203,1,0.000,0.000,4308.429,0.000,0.000,-552.906
4204,1,0.000,0.000,949.629,0.000,0.000,-115.952
5001,1,0.000,0.000,7213.383,0.000,0.000,-1561.338
5002,1,0.000,0.000,8534.582,0.000,0.000,-1055.106
5003,1,0.000,0.000,589.263,0.000,0.000,-73.624
6102,1,0.000,0.000,1022.470,0.000,0.000,325.457
6103,1,0.000,0.000,386.454,0.000,0.000,-49.703
6104,1,0.000,0.000,1683.648,0.000,0.000,-218.144
6201,1,0.000,0.000,194.170,0.000,0.000,-23.903
6202,1,0.000,0.000,81.319,0.000,0.000,-11.365
6203,1,0.000,0.000,609.243,0.000,0.000,-143.626
6204,1,0.000,0.000,667.550,0.000,0.000,-142.578
6205,1,0.000,0.000,465.984,0.000,0.000,-78.317
6301,1,0.000,0.000,508.649,0.000,0.000,-65.361
6302,1,0.000,0.000,588.418,0.000,0.000,-76.334
6303,1,0.000,0.000,724.856,0.000,0.000,-91.813
6305,1,0.000,0.000,56.823,0.000,0.000,-17.579
6401,1,0.000,0.000,1628.390,0.000,0.000,-206.824
6402,1,0.000,0.000,270.855,0.000,0.000,-35.135
6403,1,0.000,0.000,1.980,0.000,0.000,-0.221
6404,1,0.000,0.000,27.498,0.000,0.000,-3.399
6501,1,0.000,0.000,193.033,0.000,0.000,-62.491
6502,1,0.000,0.000,1539.327,0.000,0.000,-271.901
6503,1,0.000,0.000,414.228,0.000,0.000,-127.491
6504,1,0.000,0.000,293.725,0.000,0.000,-37.889
6505,1,0.000,0.000,6.555,0.000,0.000,-2.076
6507,1,0.000,0.000,527.834,0.000,0.000,58.453
6508,1,0.000,0.000,128.991,0.000,0.000,-41.365
6509,1,0.000,0.000,8.495,0.000,0.000,-2.753
6510,1,0.000,0.000,1971.920,0.000,0.000,111.890
7001,1,0.000,0.000,6863.645,0.000,0.000,-742.359
7002,1,0.000,0.000,2517.078,0.000,0.000,134.018
8003,1,0.000,0.000,546.423,0.000,0.000,-66.307
8004,1,0.000,0.000,3409.103,0.000,0.000,-444.699
8005,1,0.000,0.000,1213.222,0.000,0.000,-161.487
