name,capacity[MW],start[y],retirement[y],latitude,longitude,county,state,type,unit
Flatiron hydroelectric plant,95,1954.0,,40.365,-105.236,Larimer County,Colorado,HT,
Folsom hydroelectric plant,199,1955.0,,38.7068,-121.158,Sacramento County,California,HT,
Fort Peck hydroelectric plant,180,1943.0,,48.0122,-106.412,McCone County,Montana,HT,
Glen Canyon hydroelectric plant,1312,1964.0,,36.9366,-111.484,Coconino County,Arizona,HT,
Gorge hydroelectric plant,207,1924.0,,48.6981,-121.209,Whatcom County,Washington,HT,
Grand Coulee Left hydroelectric plant,1155,1941.0,,47.9565,-118.981,Grant County,Washington,HT,
Grand Coulee Right hydroelectric plant,1125,1941.0,,47.9565,-118.981,Grant County,Washington,HT,
Green Peter hydroelectric plant,80,1967.0,,44.4494,-122.549,Linn County,Oregon,HT,
Haas hydroelectric plant,135,1958.0,,36.9274,-119.0201,Fresno County,California,HT,
Hells Canyon hydroelectric plant,392,1967.0,,45.2439,-116.701,Wallowa County,Oregon,HT,
Helms hydroelectric plant,1053,1984.0,,37.0293,-118.968,Fresno County,California,HT,
Henry M. Jackson hydroelectric plant,112,1984.0,,47.9084,-121.814,Snohomish County,Washington,HT,
Horse Mesa hydroelectric plant,130,1927.0,,33.5907,-111.344,Maricopa County,Arizona,HT,
Hungry Horse hydroelectric plant,428,1952.0,,48.3415,-114.014,Flathead County,Montana,HT,
Ice Harbor hydroelectric plant,603,1962.0,,46.2498,-118.8801,Walla Walla County,Washington,HT,
J. S. Eastwood hydroelectric plant,200,1987.0,,37.1479,-119.257,Fresno County,California,HT,
James B. Black hydroelectric plant,169,1965.0,,40.9923,-121.975,Shasta County,California,HT,
Jaybird hydroelectric plant,162,1961.0,,38.834,-120.532,El Dorado County,California,HT,
John C. Boyle hydroelectric plant,99,1958.0,,42.0936,-122.0701,Klamath County,Oregon,HT,
John Day hydroelectric plant,2160,1968.0,,45.7164,-120.694,Sherman County,Oregon,HT,
John W Keys III hydroelectric plant,314,1951.0,,47.9565,-118.981,Grant County,Washington,HT,
Judge Francis Carr hydroelectric plant,154,1963.0,,40.6469,-122.627,Shasta County,California,HT,
Kerckhoff 2 hydroelectric plant,140,1983.0,,37.0718,-119.558,Fresno County,California,HT,
Keswick hydroelectric plant,117,1949.0,,40.6119,-122.446,Shasta County,California,HT,
Libby hydroelectric plant,525,1975.0,,48.4098,-115.314,Lincoln County,Montana,HT,
Little Goose hydroelectric plant,810,1970.0,,46.5838,-118.027,Columbia County,Washington,HT,
Lookout Point hydroelectric plant,120,1955.0,,43.9153,-122.753,Lane County,Oregon,HT,
Lower Baker hydroelectric plant,111,1960.0,,48.5478,-121.741,Skagit County,Washington,HT,
Lower Granite hydroelectric plant,810,1975.0,,46.6595,-117.429,Whitman County,Washington,HT,
Lower Monumental hydroelectric plant,810,1969.0,,46.5635,-118.5401,Walla Walla County,Washington,HT,
Lucky Peak hydroelectric plant,101,1988.0,,43.528,-116.058,Ada County,Idaho,HT,
Mammoth Pool hydroelectric plant,190,1960.0,,37.2203,-119.338,Madera County,California,HT,
Mayfield hydroelectric plant,162,1963.0,,46.5035,-122.589,Lewis County,Washington,HT,
McNary hydroelectric plant,991,1953.0,,45.9402,-119.299,Umatilla County,Oregon,HT,
Merwin hydroelectric plant,136,1931.0,,45.9567,-122.554,Cowlitz County,Washington,HT,
Middle Fork hydroelectric plant,122,1966.0,,39.0248,-120.596,Placer County,California,HT,
Moccasin hydroelectric plant,100,1969.0,,37.8094,-120.299,Tuolumne County,California,HT,
Morrow Point hydroelectric plant,173,1970.0,,38.4517,-107.539,Montrose County,Colorado,HT,
Mossyrock hydroelectric plant,300,1968.0,,46.5347,-122.425,Lewis County,Washington,HT,
Mount Elbert hydroelectric plant,200,1981.0,,39.0942,-106.352,Lake County,Colorado,HT,
Nathaniel Washington hydroelectric plant,4215,1975.0,,47.9565,-118.981,Grant County,Washington,HT,
New Exchequer hydroelectric plant,95,1967.0,,37.5844,-120.269,Mariposa County,California,HT,
New Melones hydroelectric plant,300,1979.0,,37.9469,-120.528,Tuolumne County,California,HT,
Noxon Rapids hydroelectric plant,488,1959.0,,47.9605,-115.734,Sanders County,Montana,HT,
Oxbow hydroelectric plant,190,1961.0,,44.9716,-116.835,Baker County,Oregon,HT,
Palisades hydroelectric plant,176,1957.0,,43.3349,-111.206,Bonneville County,Idaho,HT,
Parker hydroelectric plant,120,1942.0,,34.2953,-114.1401,San Bernardino County,California,HT,
Pelton hydroelectric plant,110,1957.0,,44.6944,-121.231,Jefferson County,Oregon,HT,
Pine Flat hydroelectric plant,165,1984.0,,36.8326,-119.327,Fresno County,California,HT,
Pit 3 hydroelectric plant,80,1925.0,,40.9974,-121.748,Shasta County,California,HT,
Pit 4 hydroelectric plant,103,1955.0,,40.9864,-121.849,Shasta County,California,HT,
Pit 5 hydroelectric plant,142,1944.0,,40.9862,-121.978,Shasta County,California,HT,
Pit 6 hydroelectric plant,79,1965.0,,40.9226,-121.993,Shasta County,California,HT,
Pit 7 hydroelectric plant,110,1965.0,,40.8475,-121.991,Shasta County,California,HT,
Poe hydroelectric plant,143,1958.0,,39.7229,-121.4701,Butte County,California,HT,
Priest Rapids hydroelectric plant,956,1959.0,,46.6451,-119.908,Grant County,Washington,HT,
R. C. Kirkwood hydroelectric plant,116,1967.0,,37.8777,-119.953,Tuolumne County,California,HT,
Ralston hydroelectric plant,79,1966.0,,39.001,-120.725,Placer County,California,HT,
Rock Creek hydroelectric plant,126,1950.0,,39.9052,-121.345,Plumas County,California,HT,
Rock Island hydroelectric plant,629,1931.0,,47.3461,-120.092,Chelan County,Washington,HT,
Rocky Reach hydroelectric plant,1300,1961.0,,47.5336,-120.295,Chelan County,Washington,HT,
Ross hydroelectric plant,450,1952.0,,48.7326,-121.068,Whatcom County,Washington,HT,
Round Butte hydroelectric plant,373,1964.0,,44.6058,-121.277,Jefferson County,Oregon,HT,
Seli’š Ksanka Qlispe’ hydroelectric plant,228,1938.0,,47.6777,-114.234,Lake County,Montana,HT,
Shasta hydroelectric plant,714,1944.0,,40.7175,-122.422,Shasta County,California,HT,
Spring Creek hydroelectric plant,180,1964.0,,40.6281,-122.468,Shasta County,California,HT,
Stanislaus hydroelectric plant,82,1963.0,,38.139,-120.3701,Tuolumne County,California,HT,
Summer Falls hydroelectric plant,92,1985.0,,47.5025,-119.292,Grant County,Washington,HT,
Swift 1 hydroelectric plant,240,1958.0,,46.0608,-122.202,Skamania County,Washington,HT,
The Dalles hydroelectric plant,1820,1957.0,,45.614,-121.135,Wasco County,Oregon,HT,
Thermalito hydroelectric plant,115,1968.0,,39.5149,-121.6301,Butte County,California,HT,
Thompson Falls hydroelectric plant,98,1915.0,,47.5932,-115.358,Sanders County,Montana,HT,
Trinity hydroelectric plant,140,1964.0,,40.7973,-122.763,Trinity County,California,HT,
Upper Baker hydroelectric plant,105,1959.0,,48.649,-121.691,Whatcom County,Washington,HT,
W. R. Gianelli hydroelectric plant,424,1967.0,,37.0692,-121.077,Merced County,California,HT,
Wanapum hydroelectric plant,1220,1963.0,,46.8731,-119.9701,Grant County,Washington,HT,
Wells hydroelectric plant (United States),774,1967.0,,47.9469,-119.865,Douglas County,Washington,HT,
White Rock-Slab Creek hydroelectric plant,269,1968.0,,38.7653,-120.787,El Dorado County,California,HT,
Yale hydroelectric plant,134,1953.0,,45.9628,-122.336,Cowlitz County,Washington,HT,
Yellowtail hydroelectric plant,278,1966.0,,45.3074,-107.958,Big Horn County,Montana,HT,
